curve	part	source_handles	x	y
homSF	1	62,63,64,67,66	-53.405780720756553	0.56952782438731275
homSF	1	62,63,64,67,66	-53.405797510145518	0.56952958561215106
homSF	1	62,63,64,67,66	-53.405422226705362	0.56949021959729329
homSF	1	62,63,64,67,66	-53.405432319578658	0.56949127830462587
homSF	1	62,63,64,67,66	-53.405307299656286	0.56947816398427542
homSF	1	62,63,64,67,66	-53.405165306035578	0.56946326938101866
homSF	1	62,63,64,67,66	-53.40496031910201	0.5694417670580415
homSF	1	62,63,64,67,66	-53.40478587952348	0.56942346889008966
homSF	1	62,63,64,67,66	-53.404703659581379	0.56941484437448253
homSF	1	62,63,64,67,66	-53.404406975107491	0.5693837235295679
homSF	1	62,63,64,67,66	-53.404368638497218	0.56937970202989918
homSF	1	62,63,64,67,66	-53.404244711204527	0.56936670266221057
homSF	1	62,63,64,67,66	-53.403782829255249	0.5693182536719319
homSF	1	62,63,64,67,66	-53.403838117258722	0.56932405302157629
homSF	1	62,63,64,67,66	-53.403639555310505	0.56930322498489105
homSF	1	62,63,64,67,66	-53.403443392665025	0.56928264867031431
homSF	1	62,63,64,67,66	-53.403180311769006	0.56925505294352441
homSF	1	62,63,64,67,66	-53.402924200250219	0.56922818850020851
homSF	1	62,63,64,67,66	-53.40269069524625	0.56920369540609794
homSF	1	62,63,64,67,66	-53.402683801909824	0.569202972120877
homSF	1	62,63,64,67,66	-53.402329838203201	0.56916584385818003
homSF	1	62,63,64,67,66	-53.402301323221359	0.56916285284725587
homSF	1	62,63,64,67,66	-53.402163838771322	0.56914843135600324
homSF	1	62,63,64,67,66	-53.40200647318342	0.56913192491411579
homSF	1	62,63,64,67,66	-53.401872389961575	0.56911786063823311
homSF	1	62,63,64,67,66	-53.401778708882006	0.56910803403186594
homSF	1	62,63,64,67,66	-53.401626121795999	0.56909202889155541
homSF	1	62,63,64,67,66	-53.401320729452962	0.56905999581457078
homSF	1	62,63,64,67,66	-53.400938976199818	0.56901995316822174
homSF	1	62,63,64,67,66	-53.401044976192715	0.56903107160788957
homSF	1	62,63,64,67,66	-53.400686027782285	0.5689934212262393
homSF	1	62,63,64,67,66	-53.40084050580473	0.56900962449070913
