sorted_index	source_event_index	event_time	x	z	s	next_r	next_x
115	1893	15606.384735118671	1.682808145505	1.430228566156	2.831843254578	2.854162004141	-1.689426531146
116	1705	14060.833413161125	1.683703381653	1.431662293865	2.834857077389	2.847403278203	-1.687425043729
117	1181	9747.221828235337	1.686410280620	1.432621420998	2.843979634580	2.833303951579	-1.683242095356
118	1042	8603.230967421172	1.686690947045	1.432807918812	2.844926350845	2.831682678870	-1.682760434188
119	1183	9763.284317095775	1.688215976809	1.434640175343	2.850073184354	2.821364760362	-1.679691864707
120	1044	8619.294989423935	1.689041933616	1.435185496117	2.852862653513	2.816614400690	-1.678277212111
121	1185	9779.357840279432	1.694306171928	1.438662952118	2.870673404233	2.786449544258	-1.669266169386
122	1607	13254.447810811151	1.696117782455	1.439860474307	2.876815531962	2.776112736522	-1.666167079414
123	1778	14656.228057475113	1.696390413769	1.439257879040	2.877740435926	2.775994527763	-1.666131605775
124	1820	15000.600728673029	1.696665830643	1.440222802682	2.878674940871	2.772990086946	-1.665229739990
125	1046	8635.373241957708	1.696734362107	1.440268046305	2.878907495553	2.772599876414	-1.665112571694
126	1194	9852.259923406486	1.697173289417	1.440558327242	2.880397174311	2.770100522671	-1.664361896545
127	1741	14353.088409040856	1.697466130186	1.440751962914	2.881391263129	2.768433826381	-1.663861119920
128	2342	19310.755653771808	1.698934076093	1.440950921632	2.886376994910	2.761498159071	-1.661775604307
129	2034	16764.717843003735	1.700944026629	1.443052414155	2.893210581725	2.748683601175	-1.657915438488
130	2076	17110.290543257750	1.701977040400	1.442977144560	2.896725846048	2.744213836303	-1.656566882532
131	1542	12718.572180312691	1.707335805687	1.446547639721	2.914995553380	2.713925901172	-1.647399739338
132	1912	15761.422532508657	1.707383799645	1.446579630592	2.915159439290	2.713655495125	-1.647317666731
133	1719	14174.314556830699	1.711917812550	1.450320124995	2.930662596924	2.686889793009	-1.639173509123
134	1187	9795.468126679576	1.712223075450	1.450522430339	2.931707860105	2.685182131641	-1.638652535360
135	1331	10980.209383282558	1.716845299974	1.452890776356	2.947557784043	2.660640050327	-1.631146851245
136	1609	13270.569900919358	1.717559496129	1.454061805399	2.950010622744	2.655423824164	-1.629547122413
137	1623	13385.250873765923	1.717560828525	1.453368421299	2.950015199683	2.656654130760	-1.629924578243
138	1780	14672.350732109551	1.717620566536	1.454102329111	2.950220410587	2.655084311783	-1.629442945237
139	1822	15016.726470665335	1.719174579705	1.455133649284	2.955561235503	2.646452885625	-1.626792207267
140	1048	8651.499443173971	1.719376501882	1.455267675088	2.956255555223	2.645332466076	-1.626447806133
141	1196	9868.389080786346	1.720670367250	1.456126588395	2.960706512732	2.638159163004	-1.624241103717
142	1743	14369.219552294509	1.721533689551	1.456699798311	2.963678244260	2.633378643978	-1.622768820251
143	2344	19326.895624125646	1.725130611832	1.459088918733	2.976075627880	2.613511049745	-1.616635719556
144	1031	8513.354761547893	1.726317982307	1.459877965136	2.980173776038	2.606970064583	-1.614611428358
145	2036	16780.873422870805	1.731795565285	1.463519756091	2.999115879942	2.576907536846	-1.605274910053
146	2078	17126.452315972416	1.734126208332	1.465070350533	3.007193706424	2.564171594791	-1.601303092731
147	1512	12472.202853145584	1.734783440347	1.464880601896	3.009473584903	2.561679741828	-1.600524833243
148	1019	8415.318540106437	1.736081817254	1.465749676862	3.013980076200	2.554593744637	-1.598309652301
149	1373	11324.658602372292	1.736589168488	1.466709699750	3.015741940109	2.550748118781	-1.597106170166
150	2276	18768.583156597590	1.738856390650	1.467607381997	3.023621547306	2.539485500638	-1.593576324071
151	1156	9542.578220334492	1.738857356634	1.467608028912	3.023624906720	2.539480248681	-1.593574676217
152	1519	12529.469908476005	1.739052872768	1.467738967042	3.024304894281	2.538417362138	-1.593241150027
153	1674	13804.939052751661	1.739435162624	1.467994999433	3.025634684971	2.536339779754	-1.592589017843
154	2085	17183.734222629646	1.740534579300	1.468731396681	3.029460621739	2.530369811971	-1.590713617208
155	2098	17293.119543657653	1.743591338239	1.470779466550	3.040110754782	2.513809283876	-1.585499695325
156	1239	10221.341398626724	1.743958411537	1.471025502598	3.041390941171	2.511824302179	-1.584873591861
157	1974	16271.627623182607	1.744072805993	1.471102170581	3.041789952604	2.511205883997	-1.584678479691
158	1350	11136.735460651973	1.744812606852	1.471597992323	3.044371033031	2.507208441703	-1.583416698694
159	1772	14607.220974645052	1.745653832170	1.472161918636	3.047307301771	2.502666810387	-1.581981924798
160	1464	12075.193347743982	1.746981414081	1.473051976762	3.051944061143	2.495508054363	-1.579717713506
161	1111	9171.602209507060	1.748049139218	1.473767944510	3.055675793122	2.489758112968	-1.577896737105
162	2178	17955.382795475645	1.749346713505	1.474638162141	3.060213924052	2.482779511404	-1.575683823425
163	1544	12734.775436966722	1.750004131449	1.475650427901	3.062514460087	2.478269959154	-1.574252190456
164	1914	15777.626179201059	1.750146575352	1.475745472764	3.063013035218	2.477506062880	-1.574009549806
165	1693	13962.637074039301	1.750937783122	1.476273492100	3.065783120363	2.473265063636	-1.572661776618
166	2209	18210.249414404683	1.752203473429	1.476554727052	3.070217012296	2.467450173465	-1.570811947200
167	1205	9942.232556127612	1.752941692235	1.477050113054	3.072804576377	2.463496724999	-1.569553033509
168	2310	19048.337717383871	1.753356352035	1.477328368629	3.074258497222	2.461277512834	-1.568845917493
169	2386	19671.466424789676	1.754754511380	1.478266844978	3.079163395208	2.453801952275	-1.566461602554
170	2193	18078.716888436855	1.757345228320	1.480006225905	3.088262251498	2.439980527358	-1.562043702128
171	2400	19786.851034182018	1.757939626856	1.480405399146	3.090351731670	2.436814946351	-1.561030091430
172	2334	19245.529185837266	1.758584800540	1.480838710455	3.092620500689	2.433381287130	-1.559929898146
173	1470	12124.390465945264	1.760359195622	1.482030668384	3.098864497609	2.423950305333	-1.556904077114
174	1251	10319.781148480039	1.760893318510	1.482389494030	3.100745279172	2.421115070627	-1.555993274609
175	1140	9411.620251307735	1.761908877064	1.483071878691	3.104322891077	2.415728768236	-1.554261486442
176	2123	17498.855335630407	1.762060222145	1.483173580797	3.104856226465	2.414926580208	-1.554003404182
177	1721	14190.558245860379	1.764310013129	1.485207351536	3.112789822428	2.402140378519	-1.549883988729
178	1189	9811.714522510623	1.765218057730	1.485814739466	3.115994791337	2.397348149413	-1.548337220832
179	1815	14960.056638227989	1.765359670361	1.485391334264	3.116494765736	2.397471273952	-1.548376980568
180	1736	14312.541883050246	1.765396479038	1.485416081620	3.116624728200	2.397276898559	-1.548314211831
