time	time_seconds	lambda1_nat_per_timeunit	lambda1_nats_per_second	lambda1_bits_per_second	lz76_nats_per_second	lz76_bits_per_second	lz76_alphabet_units_per_second	lz76_alphabet_size	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
3240000	3240	0.000235754679899	0.235754679899	0.340122107557	0.245857188287	0.354696946308	0.077360926344	24	331	3231421.69485	3231.42169485	137
3250000	3250	0.000235351214949	0.235351214949	0.339540030674	0.245290885579	0.3538799442	0.0771827346775	24	332	3240572.72859	3240.57272859	137
3260000	3260	0.000234681731508	0.234681731508	0.338574170234	0.246251626058	0.355265999724	0.0774850393363	24	333	3253173.95845	3253.17395845	138
3270000	3270	0.00023488703473	0.23488703473	0.338870360174	0.24570346838	0.354475175361	0.0773125571487	24	334	3262122.14238	3262.12214238	138
3280000	3280	0.000236538648695	0.236538648695	0.341253135451	0.246993244432	0.356335928876	0.0777183954764	24	335	3270293.39647	3270.29339647	139
3290000	3290	0.000234979265357	0.234979265357	0.339003420842	0.246010873518	0.35491866723	0.0774092846286	24	336	3285028.45928	3285.02845928	139
3300000	3300	0.000235078748358	0.235078748358	0.339146944475	0.245125177393	0.353640877823	0.0771305932746	24	337	3298578.25894	3298.57825894	139
3310000	3310	0.000235599342819	0.235599342819	0.339898003521	0.245125177393	0.353640877823	0.0771305932746	24	337	3298578.25894	3298.57825894	139
3320000	3320	0.000235138721878	0.235138721878	0.339233467974	0.245595259905	0.35431906353	0.0772785084882	24	339	3319328.73766	3319.32873766	140
3330000	3330	0.000235299051168	0.235299051168	0.339464774246	0.245595259905	0.35431906353	0.0772785084882	24	339	3319328.73766	3319.32873766	140
3340000	3340	0.00023487065131	0.23487065131	0.338846723895	0.244651570751	0.352957607868	0.076981569165	24	340	3333810.76822	3333.81076822	140
3350000	3350	0.00023718715168	0.23718715168	0.342188727492	0.245974976812	0.354866879229	0.0773979894434	24	341	3341252.3519	3341.2523519	141
3360000	3360	0.000234931416899	0.234931416899	0.338934390109	0.245071957658	0.353564097975	0.0771138472603	24	343	3356946.37424	3356.94637424	141
3370000	3370	0.000235311970691	0.235311970691	0.339483413177	0.246235741268	0.355243082817	0.0774800410606	24	344	3366459.7678	3366.4597678	142
3380000	3380	0.000234647561325	0.234647561325	0.33852487308	0.246235741268	0.355243082817	0.0774800410606	24	344	3366459.7678	3366.4597678	142
3390000	3390	0.000234536868841	0.234536868841	0.338365177582	0.244862623119	0.353262092072	0.0770479784768	24	346	3388701.78678	3388.70178678	142
3400000	3400	0.000234210040623	0.234210040623	0.337893664133	0.246203497221	0.35519656449	0.0774698952139	24	347	3395667.52004	3395.66752004	143
3410000	3410	0.000234313545821	0.234313545821	0.338042990569	0.245745218999	0.354535408772	0.0773256943139	24	348	3403682.83786	3403.68283786	143
3420000	3420	0.000234741308734	0.234741308734	0.338660122002	0.245388762057	0.354021150109	0.0772135322925	24	349	3410310.85697	3410.31085697	143
3430000	3430	0.000234295934031	0.234295934031	0.338017582127	0.244494306298	0.352730723222	0.0769320846499	24	350	3424454.38539	3424.45438539	143
3440000	3440	0.000235877689801	0.235877689801	0.340299573332	0.245849907073	0.354686441738	0.0773586352521	24	351	3431070.03023	3431.07003023	144
3450000	3450	0.000234959153951	0.234959153951	0.338974406216	0.244973420327	0.353421938655	0.0770828417026	24	352	3445012.64653	3445.01264653	144
3460000	3460	0.000235191019569	0.235191019569	0.339308917594	0.246068266393	0.355001467646	0.0774273437547	24	353	3455176.71524	3455.17671524	145
3470000	3470	0.000235646504176	0.235646504176	0.339966042977	0.245374710464	0.354000877947	0.0772091108468	24	354	3466614.7593	3466.6147593	145
3480000	3480	0.000235033560141	0.235033560141	0.339081751658	0.245374710464	0.354000877947	0.0772091108468	24	354	3466614.7593	3466.6147593	145
3490000	3490	0.00023531198956	0.23531198956	0.3394834404	0.246191558071	0.355179339938	0.0774661384651	24	355	3480608.35223	3480.60835223	146
3500000	3500	0.000235907598824	0.235907598824	0.340342722931	0.245093357622	0.353594971597	0.0771205809297	24	357	3499560.40525	3499.56040525	146
3510000	3510	0.000235982757805	0.235982757805	0.34045115442	0.245093357622	0.353594971597	0.0771205809297	24	357	3499560.40525	3499.56040525	146
3520000	3520	0.000235539415705	0.235539415705	0.339811546971	0.24590105829	0.354760237345	0.0773747303907	24	358	3513622.88403	3513.62288403	147
3530000	3530	0.000235925710417	0.235925710417	0.340368852437	0.245555310305	0.354261428441	0.0772659380279	24	359	3520251.41171	3520.25141171	147
3540000	3540	0.000235479518152	0.235479518152	0.339725133069	0.244693963063	0.353018767046	0.0769949082442	24	360	3534308.48593	3534.30848593	147
3550000	3550	0.000235490350311	0.235490350311	0.339740760571	0.24601155284	0.354919647284	0.0774094983826	24	361	3540973.62283	3540.97362283	148
3560000	3560	0.000235457039239	0.235457039239	0.339692702853	0.245158776491	0.353689351073	0.0771411654987	24	363	3556643.15492	3556.64315492	148
3570000	3570	0.000235890000062	0.235890000062	0.340317333285	0.244423888199	0.352629131379	0.0769099270329	24	364	3569000.60146	3569.00060146	148
3580000	3580	0.000236490733938	0.236490733938	0.341184009068	0.244423888199	0.352629131379	0.0769099270329	24	364	3569000.60146	3569.00060146	148
3590000	3590	0.000237926376602	0.237926376602	0.343255203621	0.245380211597	0.354008814403	0.077210841822	24	365	3580777.45554	3580.77745554	149
3600000	3600	0.000236935389849	0.236935389849	0.341825511947	0.244461929136	0.352684012851	0.0769218969175	24	366	3595887.78065	3595.88778065	149
3610000	3610	0.000236285218045	0.236285218045	0.340887512308	0.245329313732	0.353935384306	0.0771948264026	24	367	3608887.55441	3608.88755441	150
3620000	3620	0.000236630407597	0.236630407597	0.341385515564	0.24475364057	0.35310486349	0.0770136862482	24	368	3619046.82251	3619.04682251	150
3630000	3630	0.000236774831522	0.236774831522	0.341593875244	0.246076031507	0.355012670336	0.0774297871096	24	369	3625272.98646	3625.27298646	151
3640000	3640	0.000236542035078	0.236542035078	0.341258020968	0.245653988174	0.354403790513	0.0772969878068	24	370	3633173.19437	3633.17319437	151
3650000	3650	0.000236381389187	0.236381389187	0.341026257938	0.245194639867	0.353741090988	0.0771524501962	24	371	3641648.73676	3641.64873676	151
3660000	3660	0.000235731333682	0.235731333682	0.340088426085	0.244354159547	0.3525285342	0.0768879863563	24	372	3655832.28024	3655.83228024	151
3670000	3670	0.000236159139127	0.236159139127	0.340705618879	0.243839963028	0.351786705432	0.0767261903181	24	373	3665208.92192	3665.20892192	151
3680000	3680	0.000235421060866	0.235421060866	0.339640797033	0.24464749196	0.352951723416	0.0769802857408	24	374	3678962.45683	3678.96245683	152
3690000	3690	0.000235142647642	0.235142647642	0.339239131654	0.244285358954	0.352429275925	0.0768663377006	24	375	3686087.6117	3686.0876117	152
3700000	3700	0.000235669309441	0.235669309441	0.33999894402	0.243843214871	0.351791396849	0.0767272135363	24	376	3694438.58628	3694.43858628	152
3710000	3710	0.000234827415199	0.234827415199	0.338784347372	0.244746799096	0.353094993329	0.0770115335236	24	378	3708351.53546	3708.35153546	153
3720000	3720	0.000235936920924	0.235936920924	0.34038502578	0.244746799096	0.353094993329	0.0770115335236	24	378	3708351.53546	3708.35153546	153
3730000	3730	0.000236321831283	0.236321831283	0.340940334046	0.244083301343	0.352137768412	0.0768027586608	24	379	3720087.85639	3720.08785639	153
3740000	3740	0.000235955510359	0.235955510359	0.340411844666	0.24482244519	0.353204127574	0.0770353361708	24	380	3734748.35646	3734.74835646	154
3750000	3750	0.000236150967324	0.236150967324	0.340693829459	0.24567962287	0.354440773561	0.0773050539684	24	382	3749215.58687	3749.21558687	155
3760000	3760	0.000235737633455	0.235737633455	0.340097514736	0.245267658893	0.353846435176	0.0771754262157	24	383	3757172.99355	3757.17299355	155
3770000	3770	0.00023594843993	0.23594843993	0.340401644192	0.244785048165	0.353150175071	0.0770235688984	24	384	3766237.08771	3766.23708771	155
3780000	3780	0.000235676746296	0.235676746296	0.340009673134	0.244010313582	0.352032469331	0.0767797924794	24	385	3779842.69821	3779.84269821	155
3790000	3790	0.000236505671261	0.236505671261	0.341205559071	0.244010313582	0.352032469331	0.0767797924794	24	385	3779842.69821	3779.84269821	155
