time	time_seconds	lambda1_nats_per_second	binary_sign_lz76_nats_per_second	n_symbols	binary_lz76_phrase_count	mean_event_interval_seconds
5850000	5850	0.228105632904	0.12077309592	615	110	9.51025421597
5860000	5860	0.228679242836	0.12062887144	616	110	9.50857263814
5870000	5870	0.227888179103	0.120367723064	617	110	9.51616041775
5880000	5880	0.22790055056	0.120205904143	618	110	9.51594980452
5890000	5890	0.227665776441	0.119957010565	619	110	9.52268420847
5900000	5900	0.227226630276	0.120921944888	620	111	9.51958883841
5910000	5910	0.227328440326	0.120780899719	621	111	9.51774326096
5920000	5920	0.226762487765	0.120518142756	622	111	9.52554144064
5930000	5930	0.226707586399	0.120385597268	623	111	9.52310001208
5940000	5940	0.22718938688	0.120281547511	624	111	9.51843534213
5950000	5950	0.226646548943	0.120041962848	625	111	9.52454180076
5960000	5960	0.22693417607	0.119922233127	626	111	9.52118479907
5970000	5970	0.227677030505	0.119780107806	627	111	9.51963797712
5980000	5980	0.226507545069	0.119527934913	628	111	9.52688786999
5990000	5990	0.22651678967	0.120433624456	629	112	9.52761058605
6000000	6000	0.226520241319	0.120296119551	630	112	9.52570830998
6010000	6010	0.226140382269	0.120037252725	631	112	9.53346749131
6020000	6020	0.226125968963	0.119900909184	632	112	9.53154706026
6030000	6030	0.227191040063	0.119900909184	632	112	9.53154706026
6040000	6040	0.225972602434	0.119511480995	634	112	9.5371099711
6050000	6050	0.226099400892	0.119511480995	634	112	9.5371099711
6060000	6060	0.22608613666	0.119249909445	635	112	9.54530842373
6070000	6070	0.226228827071	0.119004343286	636	112	9.55229444148
6080000	6080	0.226357795735	0.119004343286	636	112	9.55229444148
6090000	6090	0.226413870612	0.119838613112	637	113	9.5577910119
6100000	6100	0.226400311765	0.119563138721	639	113	9.55446496963
6110000	6110	0.22618116439	0.11945500215	640	113	9.55048306352
6120000	6120	0.227401987531	0.119325784128	641	113	9.54821638029
6130000	6130	0.226424245021	0.11909008587	643	113	9.54195321498
6140000	6140	0.226589408446	0.11909008587	643	113	9.54195321498
6150000	6150	0.226562744004	0.119793095479	645	114	9.54481038324
6160000	6160	0.226586102324	0.119793095479	645	114	9.54481038324
6170000	6170	0.226342596671	0.119549254601	646	114	9.5517600557
6180000	6180	0.226580191541	0.119449918873	647	114	9.54720959856
6190000	6190	0.226373195565	0.119147707225	649	114	9.54647984822
6200000	6200	0.226614525767	0.119003044514	650	114	9.54564911647
6210000	6210	0.226294348932	0.118878838442	651	114	9.54320865118
6220000	6220	0.226844618322	0.118724739948	652	114	9.54319990059
6230000	6230	0.226084384427	0.119558801404	653	115	9.5473710193
6240000	6240	0.226719172001	0.119350878722	654	115	9.55163425035
6250000	6250	0.227216095565	0.119350878722	654	115	9.55163425035
6260000	6260	0.227790137316	0.119185777078	655	115	9.55251349256
6270000	6270	0.226670423263	0.118972256736	656	115	9.55731745622
6280000	6280	0.227657965324	0.118845604095	657	115	9.55518363184
6290000	6290	0.226663382023	0.118593353778	658	115	9.56319662796
6300000	6300	0.226635292332	0.118471991209	659	115	9.56070348186
6310000	6310	0.226568262708	0.119262396317	661	116	9.55539886284
6320000	6320	0.226108016063	0.119138724682	662	116	9.55309209691
6330000	6330	0.226393030336	0.118975892362	663	116	9.55395773285
6340000	6340	0.226739976329	0.118830275013	664	116	9.55347500571
6350000	6350	0.226653562405	0.118642428299	666	116	9.54428171834
6360000	6360	0.226603543483	0.119520017686	667	117	9.54375125172
6370000	6370	0.226876211322	0.119354959295	668	117	9.54484114385
6380000	6380	0.227279452813	0.119354959295	668	117	9.54484114385
6390000	6390	0.226801974977	0.119112962814	669	117	9.55213299754
6400000	6400	0.2268153652	0.118881371004	671	117	9.54659292362
6410000	6410	0.227070246043	0.118881371004	671	117	9.54659292362
6420000	6420	0.226533180258	0.118634078429	672	117	9.55444248348
6430000	6430	0.226642011502	0.118498089425	673	117	9.55337568364
6440000	6440	0.226916795691	0.11938882391	674	118	9.55113225319
6450000	6450	0.226868700009	0.119140158514	676	118	9.54709143274
6460000	6460	0.226529909163	0.119041504156	677	118	9.54305408781
6470000	6470	0.226667237057	0.11890831647	678	118	9.54181245776
6480000	6480	0.226812587861	0.118644831415	680	118	9.53918441488
6490000	6490	0.227592932136	0.118644831415	680	118	9.53918441488
6500000	6500	0.226690637472	0.118400971547	681	118	9.54694551483
6510000	6510	0.226276444039	0.11928086636	682	119	9.54496393769
6520000	6520	0.22643419863	0.119035154654	684	119	9.54097955513
6530000	6530	0.226522093785	0.118910004363	685	119	9.53921248478
6540000	6540	0.226634908725	0.118775151377	686	119	9.53825215502
6550000	6550	0.226831521082	0.118655270211	687	119	9.53611749326
6560000	6560	0.226847586548	0.11847052874	688	119	9.53922936037
6570000	6570	0.227215761359	0.118312439142	689	119	9.54023246636
6580000	6580	0.226843697622	0.118111461028	690	119	9.54473388204
6590000	6590	0.226819439029	0.118987937842	691	120	9.54233073142
6600000	6600	0.226697056562	0.118883393685	692	120	9.53902989716
6610000	6610	0.227181714927	0.118752149185	693	120	9.53789800924
6620000	6620	0.226882337962	0.11854536112	694	120	9.54287162746
6630000	6630	0.226891346442	0.11836242918	695	120	9.54596883059
6640000	6640	0.227258791424	0.118209963461	696	120	9.54664504657
6650000	6650	0.227260356254	0.118109974487	697	120	9.54311150247
6660000	6660	0.22678064702	0.118871505545	698	121	9.54938464558
6670000	6670	0.227376920694	0.118699406672	699	121	9.55163654445
6680000	6680	0.227387686348	0.118699406672	699	121	9.55163654445
6690000	6690	0.226937295509	0.118481771242	700	121	9.55759706726
6700000	6700	0.22707816804	0.118366824579	701	121	9.5553127819
6710000	6710	0.227306219484	0.118220061509	702	121	9.55562507302
6720000	6720	0.227086208376	0.118031878465	703	121	9.55932148122
6730000	6730	0.226798996134	0.118773699133	704	122	9.56659507852
6740000	6740	0.22686555036	0.118658017427	705	122	9.56440895258
6750000	6750	0.226940261292	0.11850658872	706	122	9.56513268374
6760000	6760	0.22692941055	0.118393793486	707	122	9.56276643206
6770000	6770	0.226552493981	0.118176210061	709	122	9.55746136305
6780000	6780	0.22685859236	0.118071184912	710	122	9.55454079193
6790000	6790	0.227176536361	0.117910049694	711	122	9.55618965135
6800000	6800	0.227383961271	0.117820551875	712	122	9.55206084523
6810000	6810	0.227319620372	0.117609053971	713	122	9.557859298
6820000	6820	0.226671539772	0.118469381893	714	123	9.55486397885
6830000	6830	0.227062169528	0.118346085341	715	123	9.55347558945
6840000	6840	0.226697764141	0.118128158867	716	123	9.55976517102
6850000	6850	0.226207288489	0.117979327228	717	123	9.56050442998
6860000	6860	0.226688558898	0.117854891803	718	123	9.55929509733
6870000	6870	0.226800991397	0.117742677492	719	123	9.55711978032
6880000	6880	0.227040225384	0.117609183394	720	123	9.55669772503
6890000	6890	0.227122088494	0.117408973044	721	123	9.56173346259
6900000	6900	0.227163744269	0.117311383179	722	123	9.55844609097
6910000	6910	0.226544586031	0.118053651625	723	124	9.56433576869
6920000	6920	0.227808467976	0.118053651625	723	124	9.56433576869
6930000	6930	0.227211031602	0.117785468459	725	124	9.56367943417
6940000	6940	0.227470809283	0.117785468459	725	124	9.56367943417
6950000	6950	0.22758546307	0.117566699278	726	124	9.57028044875
6960000	6960	0.227425488855	0.117346200783	728	124	9.56591519301
6970000	6970	0.227172112786	0.117233769555	729	124	9.56394632752
6980000	6980	0.227493970095	0.118005775807	731	125	9.55576684975
6990000	6990	0.228260331027	0.118005775807	731	125	9.55576684975
7000000	7000	0.227207131315	0.117787120049	732	125	9.56240919388
7010000	7010	0.227959231976	0.117667819266	733	125	9.56102402394
7020000	7020	0.227040751272	0.117456197297	734	125	9.56717751361
7030000	7030	0.227034925426	0.117315356501	735	125	9.56760469497
7040000	7040	0.227278812997	0.117205041134	736	125	9.56556835623
7050000	7050	0.227139601477	0.117038648049	737	125	9.56813776567
7060000	7060	0.227349732157	0.116929122441	738	125	9.56608710887
7070000	7070	0.227305766403	0.117706141853	739	126	9.56796091409
7080000	7080	0.226887099531	0.117492583204	741	126	9.56339205463
7090000	7090	0.227377837593	0.117398466665	742	126	9.56011058915
7100000	7100	0.227532854967	0.117289423078	743	126	9.55806699602
7110000	7110	0.227488749978	0.117146540513	744	126	9.55880675685
7120000	7120	0.227392017593	0.117909320835	746	127	9.55055453165
7130000	7130	0.227826429498	0.117909320835	746	127	9.55055453165
7140000	7140	0.227849506083	0.117690887592	747	127	9.55740646505
7150000	7150	0.22785476423	0.117500163825	749	127	9.55121641822
7160000	7160	0.22808445541	0.117415267655	750	127	9.54730236842
7170000	7170	0.228110898358	0.118129378394	751	128	9.55349562692
7180000	7180	0.228096286352	0.118037414582	752	128	9.55014367179
7190000	7190	0.228065150866	0.117929646262	753	128	9.54809206529
7200000	7200	0.228436709061	0.117796917686	754	128	9.54808551873
7210000	7210	0.228680032105	0.118485896547	756	129	9.54523151823
7220000	7220	0.228459059207	0.118378881067	757	129	9.54314267538
7230000	7230	0.228844715945	0.11826148563	758	129	9.54191327827
7240000	7240	0.228753131991	0.118093698872	759	129	9.5447782436
7250000	7250	0.229110175885	0.117924354313	760	129	9.54780316669
7260000	7260	0.228978186874	0.117820485006	761	129	9.54555480186
7270000	7270	0.228639811167	0.117707635357	762	129	9.5440560994
7280000	7280	0.228543846378	0.117707635357	762	129	9.5440560994
7290000	7290	0.228497902264	0.117387971567	764	129	9.54876373891
7300000	7300	0.228197128788	0.118192178503	765	130	9.54669697463
7310000	7310	0.22837880431	0.118085219138	766	130	9.54474732698
7320000	7320	0.228606273664	0.11799716117	767	130	9.54129073453
7330000	7330	0.228156637586	0.117791942202	768	130	9.5473408758
7340000	7340	0.228358003971	0.117664229814	769	130	9.5471443007
7350000	7350	0.228006886671	0.117466833062	770	130	9.55263583669
7360000	7360	0.227592716153	0.117362706419	771	130	9.5505748148
7370000	7370	0.227889173753	0.117244090442	772	130	9.54971507022
7380000	7380	0.22778555504	0.117976382276	773	131	9.55293001554
7390000	7390	0.227351445765	0.11788675343	774	131	9.54969751674
7400000	7400	0.227740402613	0.117697998628	776	131	9.54406190264
7410000	7410	0.227497336969	0.117594317913	777	131	9.54202906021
7420000	7420	0.227671755126	0.117485332513	778	131	9.54044788742
7430000	7430	0.228231828256	0.117370770394	779	131	9.53934144926
7440000	7440	0.227681252647	0.118091804359	780	132	9.54306218525
7450000	7450	0.227697074728	0.117958680086	781	132	9.5434351285
7460000	7460	0.227823904361	0.11785426141	782	132	9.54150860863
7470000	7470	0.227980039045	0.117709055885	783	132	9.54290839879
7480000	7480	0.227588932802	0.11751127659	784	132	9.548605872
7490000	7490	0.228041086673	0.117366137177	785	132	9.55006145353
7500000	7500	0.227785641653	0.117366137177	785	132	9.55006145353
7510000	7510	0.227758297258	0.117170618379	786	132	9.55565152951
7520000	7520	0.227716944788	0.117022838115	787	132	9.55738385763
7530000	7530	0.227462679111	0.116913811333	788	132	9.55597594175
7540000	7540	0.227552309951	0.117595924254	790	133	9.55191528223
7550000	7550	0.227500900444	0.117513297581	791	133	9.54835727896
7560000	7560	0.227547347806	0.117393154535	792	133	9.54786826864
7570000	7570	0.228299697909	0.117270464742	793	133	9.54760922155
7580000	7580	0.227720324021	0.117177742993	794	133	9.54493147174
7590000	7590	0.228106233665	0.117055763881	795	133	9.5446580094
7600000	7600	0.228021555157	0.116845381112	796	133	9.55162859195
7610000	7610	0.227829162218	0.117544112911	797	134	9.55603252692
7620000	7620	0.227912905999	0.117439722289	798	134	9.55433403661
7630000	7630	0.227860954891	0.117354477902	799	134	9.55109731221
7640000	7640	0.22763179346	0.117253643987	800	134	9.54914854935
7650000	7650	0.22796977683	0.11713461451	801	134	9.54870265128
7660000	7660	0.228316774518	0.11699737012	802	134	9.54976549514
7670000	7670	0.227698946993	0.116799513281	803	134	9.55581025798
7680000	7680	0.228010610408	0.116692688881	804	134	9.55443929027
7690000	7690	0.228228682255	0.116589190386	805	134	9.55281624588
7700000	7700	0.22859006687	0.117373209463	806	135	9.54973045239
7710000	7710	0.228001456268	0.117182699924	807	135	9.55517312812
7720000	7720	0.227990709257	0.117038497823	808	135	9.55687356656
7730000	7730	0.227902044562	0.116922979133	809	135	9.55625604034
7740000	7740	0.228061289852	0.116748120895	811	135	9.55048745503
7750000	7750	0.227731592077	0.116649999309	812	135	9.54850571136
7760000	7760	0.227859046822	0.117404867655	813	136	9.54738531279
7770000	7770	0.227550188835	0.117215580219	814	136	9.55280729537
7780000	7780	0.227723788805	0.117080524212	815	136	9.55384186669
7790000	7790	0.227436111557	0.116982115183	816	136	9.55190791981
7800000	7800	0.227492244644	0.116884423658	817	136	9.54993438343
7810000	7810	0.227423585513	0.116786970258	818	136	9.54796030954
7820000	7820	0.227563438648	0.116679874714	819	136	9.54679397177
7830000	7830	0.227115955581	0.117348840252	820	137	9.55224395168
7840000	7840	0.227297994562	0.117215313457	821	137	9.55321238645
7850000	7850	0.226998183357	0.117215313457	821	137	9.55321238645
7860000	7860	0.226901665113	0.116925228132	823	137	9.55710416732
7870000	7870	0.226780227899	0.116807285808	824	137	9.55687246328
7880000	7880	0.227168606918	0.116807285808	824	137	9.55687246328
7890000	7890	0.226397086761	0.1165441083	826	137	9.55871127299
7900000	7900	0.22652713642	0.117280607878	827	138	9.55816981443
7910000	7910	0.226670780926	0.117173998931	828	138	9.55703087674
7920000	7920	0.226707059904	0.117076920812	829	138	9.5551336264
7930000	7930	0.226117869506	0.116964285456	830	138	9.5545255091
7940000	7940	0.226747489025	0.116775010552	832	138	9.55042563146
7950000	7950	0.226853580254	0.116663429116	833	138	9.54978971621
7960000	7960	0.226871542192	0.116586952902	834	138	9.5462986606
7970000	7970	0.226856239347	0.116460507768	835	138	9.54691883892
7980000	7980	0.226835158664	0.117131695998	837	139	9.54154321782
7990000	7990	0.226963559429	0.117003096038	838	139	9.54232460881
8000000	8000	0.226769028297	0.116907360741	839	139	9.54044612597
8010000	8010	0.226751388645	0.116809133604	840	139	9.53878913088
8020000	8020	0.226593484535	0.116661932547	842	139	9.53150406292
8030000	8030	0.226929980774	0.117388598043	843	140	9.53101081729
8040000	8040	0.226973213107	0.11731015921	844	140	9.52775981172
8050000	8050	0.226642756632	0.117121188611	845	140	9.5335139259
8060000	8060	0.226797015114	0.117022427577	846	140	9.53195382622
8070000	8070	0.226727607004	0.116938491619	847	140	9.52920358303
8080000	8080	0.227066433652	0.117676178054	848	141	9.52752676406
8090000	8090	0.226922153246	0.117494014677	849	141	9.53272471926
8100000	8100	0.226914567675	0.117395578958	850	141	9.5311568521
8110000	8110	0.226425194302	0.117300727027	851	141	9.52931573748
8120000	8120	0.226954250008	0.117101183433	853	141	9.52648641013
8130000	8130	0.227078336981	0.116995963414	854	141	9.52554229665
8140000	8140	0.22706413659	0.116995963414	854	141	9.52554229665
8150000	8150	0.227043626741	0.117563093678	856	142	9.5278167955
8160000	8160	0.227175580306	0.117435318609	857	142	9.52870109931
8170000	8170	0.226866842906	0.117341082111	858	142	9.52688377212
8180000	8180	0.226942069353	0.117246718889	859	142	9.52509396961
8190000	8190	0.227224165588	0.117172266887	860	142	9.52170307603
8200000	8200	0.227032380353	0.117025666039	861	142	9.5241961699
8210000	8210	0.227238817365	0.116915133839	862	142	9.52377651644
8220000	8220	0.2273442456	0.117557625092	864	143	9.51961133541
8230000	8230	0.226944665875	0.117469630068	865	143	9.5173566879
