time_since_ttr1e6_seconds	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
4780	0.310780329502	0.343077985538	501	24	183	9.5487913076
4790	0.310562922631	0.342251787062	503	24	183	9.53989311522
4800	0.310877201472	0.343553178273	504	24	184	9.53977393277
4810	0.311114051583	0.343088088022	505	24	184	9.53682672853
4820	0.311435375927	0.342626192198	506	24	184	9.53383948004
4830	0.311460289523	0.343878241791	507	24	185	9.53493740824
4840	0.310980638509	0.343368136082	508	24	185	9.53332000552
4850	0.311401437673	0.342910162463	509	24	185	9.53030487205
4860	0.311915806719	0.344203957879	510	24	186	9.53008683165
4870	0.3109222121	0.343302350941	511	24	186	9.5394129812
4880	0.310651073408	0.342847832666	512	24	186	9.53639177059
4890	0.311650441586	0.344149296046	513	24	187	9.5357681343
4900	0.31169051904	0.34347914362	514	24	187	9.53876068581
4910	0.312490141629	0.344886557801	515	24	188	9.53505921016
4920	0.311293119895	0.344028596429	516	24	188	9.5432773669
4930	0.313134616093	0.343642555931	517	24	188	9.53847411795
4940	0.310519765929	0.344608758314	519	24	189	9.53136205633
4950	0.311411970411	0.344152977244	520	24	189	9.52856404773
4960	0.312106609499	0.345258598223	521	24	190	9.53290579177
4970	0.312595142567	0.344768038477	522	24	190	9.53110224065
4980	0.31161081624	0.345817687079	523	24	191	9.53683593468
4990	0.311654971798	0.345274852606	524	24	191	9.53651022633
5000	0.312931197934	0.345274852606	524	24	191	9.53651022633
5010	0.311407327749	0.344064168612	526	24	191	9.53947930779
5020	0.311643151949	0.345343805943	527	24	192	9.53865351702
5030	0.3118551669	0.344894702839	528	24	192	9.53586866306
5040	0.311737668704	0.344454020848	529	24	192	9.53289559387
5050	0.31262110602	0.343960387272	530	24	192	9.53143391579
5060	0.312210516712	0.34496906549	531	24	193	9.53793665819
5070	0.312307882048	0.344157737591	532	24	193	9.54531223678
5080	0.311995821674	0.345464093519	533	24	194	9.54340875555
5090	0.312328354088	0.345026267376	534	24	194	9.54047217422
5100	0.312071313706	0.344581924937	535	24	194	9.53775949043
5110	0.311839439193	0.343665296786	537	24	194	9.53324048804
5120	0.312762881569	0.343665296786	537	24	194	9.53324048804
5130	0.312855820246	0.344652714875	538	24	195	9.53999033857
5140	0.312007154522	0.343808310891	539	24	195	9.54849710954
5150	0.312131847436	0.345066813003	540	24	196	9.54756516484
5160	0.312754404382	0.344726404061	541	24	196	9.54213292765
5170	0.31282935133	0.344087267726	542	24	196	9.5450192076
5180	0.313549894226	0.345052745143	544	24	197	9.53727900238
5190	0.31311806695	0.344636415894	545	24	197	9.53405851452
5200	0.312672962907	0.345929062358	546	24	198	9.53193538064
5210	0.312275283697	0.345076933289	547	24	198	9.54077371072
5220	0.312283037526	0.344649387452	548	24	198	9.5379399713
5230	0.312660485694	0.344313782596	549	24	198	9.53260152624
5240	0.312607056241	0.343649478193	550	24	198	9.53641375583
5250	0.313370645408	0.344951485831	551	24	199	9.53381543204
5260	0.31223487987	0.344234869199	553	24	199	9.52457484122
