time	time_seconds	lambda1_nats_per_second	full_sscs_lz76_nats_per_second	full_sscs_lz76_bits_per_second	n_symbols_total	n_symbols_discarded	n_symbols_used	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
1710000	1710	0.246308225782	0.241493908438	0.348402064108	180	106	74	16	39	9.3930262874
1720000	1720	0.246031432688	0.237561583214	0.342728918009	182	106	76	16	39	9.35483748467
1730000	1730	0.247030741042	0.237561583214	0.342728918009	182	106	76	16	39	9.35483748467
1740000	1740	0.248265611087	0.240022519647	0.346279298796	183	106	77	16	40	9.40129409684
1750000	1750	0.247604464639	0.236322279519	0.340940980713	184	106	78	16	40	9.45407965455
1760000	1760	0.247530227042	0.24003880434	0.346302792643	185	106	79	16	41	9.44717306103
1770000	1770	0.246789160588	0.238304461651	0.343800665046	186	106	80	16	41	9.4240310681
1780000	1780	0.247278858667	0.236359557826	0.340994761942	187	106	81	16	41	9.41087733938
1790000	1790	0.244247625422	0.238290385051	0.343780356805	188	106	82	16	42	9.47205696852
1800000	1800	0.245013328981	0.240720026137	0.34728558795	190	106	84	16	43	9.4223827359
1810000	1810	0.244766294759	0.240720026137	0.34728558795	190	106	84	16	43	9.4223827359
1820000	1820	0.242884706902	0.237030652835	0.341962947384	191	106	85	16	43	9.48172248631
1830000	1830	0.245183817012	0.235059678666	0.339119432725	192	106	86	16	43	9.474928498
1840000	1840	0.242838018291	0.232253872319	0.335071509822	193	106	87	16	43	9.50377231035
1850000	1850	0.242505732428	0.236129571277	0.340662961489	194	106	88	16	44	9.48067789701
1860000	1860	0.245272435094	0.234356706585	0.338105258389	195	106	89	16	44	9.46890387284
1870000	1870	0.240743438817	0.236273164468	0.340870122673	196	106	90	16	45	9.52247302494
1880000	1880	0.240848787812	0.234351652577	0.338097966997	197	106	91	16	45	9.51836603833
1890000	1890	0.239015334452	0.237531589226	0.34268564583	198	106	92	16	46	9.51828889747
1900000	1900	0.237833777278	0.234249009579	0.337949884452	199	106	93	16	46	9.57071680315
1910000	1910	0.239135652499	0.23779584167	0.343066881521	200	106	94	16	47	9.55293151968
1920000	1920	0.239318175215	0.236552420832	0.341273004445	201	106	95	16	47	9.52419199415
1930000	1930	0.238798639489	0.238506191376	0.344091699519	203	106	97	16	48	9.49147060615
1940000	1940	0.238947839038	0.236801550473	0.341632422542	204	106	98	16	48	9.48346137268
1950000	1950	0.237139316092	0.236801550473	0.341632422542	204	106	98	16	48	9.48346137268
1960000	1960	0.236787956575	0.233824245112	0.337337078862	205	106	99	16	48	9.5282544202
1970000	1970	0.23714385851	0.236296624006	0.340903967632	206	106	100	16	49	9.54957947717
1980000	1980	0.237278921184	0.238501424696	0.344084822654	208	106	102	16	50	9.50578613446
1990000	1990	0.237267974632	0.236768047442	0.341584087885	209	106	103	16	50	9.5024158251
2000000	2000	0.238282788382	0.23502603066	0.339070888913	210	106	104	16	50	9.5005656765
2010000	2010	0.237444319627	0.23846221986	0.344028262031	211	106	105	16	51	9.47946818808
2020000	2020	0.241219501704	0.23685417082	0.341708337655	212	106	106	16	51	9.47304462667
2030000	2030	0.239496301924	0.234295112453	0.33801639684	213	106	107	16	51	9.50611453274
2040000	2040	0.239816577459	0.237214678557	0.342228440381	214	106	108	16	52	9.50345692533
2050000	2050	0.237307947579	0.234809894795	0.338759070773	215	106	109	16	52	9.53143061111
2060000	2060	0.238878060055	0.237965029769	0.343310968353	216	106	110	16	53	9.51726775028
2070000	2070	0.238680167977	0.236371349305	0.34101177345	217	106	111	16	53	9.51339748764
2080000	2080	0.237532087995	0.238405424361	0.343946323447	219	106	113	16	54	9.47589883634
2090000	2090	0.238132107127	0.237095921827	0.342057110635	220	106	114	16	54	9.46225648097
2100000	2100	0.237365246223	0.240433858	0.346872734598	221	106	115	16	55	9.43841846825
2110000	2110	0.237231633235	0.238859136935	0.344600892327	222	106	116	16	55	9.43592716243
2120000	2120	0.23895873978	0.237243229708	0.342269630984	223	106	117	16	55	9.43600698543
2130000	2130	0.236921293713	0.23886178756	0.344604716371	224	106	118	16	56	9.47850948957
2140000	2140	0.237487751005	0.237561216957	0.342728389611	225	106	119	16	56	9.46703051822
2150000	2150	0.237472470786	0.239280743039	0.345209141363	226	106	120	17	57	9.50372582824
2160000	2160	0.237443920758	0.242489998931	0.349839118923	227	106	121	17	58	9.48001443942
2170000	2170	0.237413933421	0.241028618422	0.347730792509	228	106	122	17	58	9.47555054785
2180000	2180	0.23613851079	0.242831295252	0.350331505432	230	106	124	17	59	9.44491551276
2190000	2190	0.236178929107	0.241941647673	0.349048015283	231	106	125	17	59	9.41947823339
2200000	2200	0.236681959549	0.245068733812	0.353559446948	232	106	126	17	60	9.3973284492
2210000	2210	0.236819602415	0.243517944001	0.351322130177	233	106	127	17	60	9.39804388421
2220000	2220	0.236707896381	0.245118135498	0.353630718515	235	106	129	17	61	9.37527866797
2230000	2230	0.235892832369	0.244113464044	0.35218128399	236	106	130	17	61	9.35629234295
2240000	2240	0.235917575897	0.24197284874	0.349093028906	238	106	132	17	61	9.32520468626
2250000	2250	0.236883020397	0.244406818734	0.352604505348	239	106	133	17	62	9.32752873053
2260000	2260	0.236086466711	0.244406818734	0.352604505348	239	106	133	17	62	9.32752873053
2270000	2270	0.23434442198	0.242018064792	0.349158261882	240	106	134	17	62	9.36361789977
2280000	2280	0.235185614525	0.243552335867	0.351371747152	242	106	136	17	63	9.34384440533
2290000	2290	0.236838595367	0.242188885268	0.349404703734	243	106	137	17	63	9.34177048625
2300000	2300	0.237513910306	0.245108703562	0.353617111108	244	106	138	17	64	9.32281524533
2310000	2310	0.236074918344	0.24410839078	0.352173964817	245	106	139	17	64	9.3072916942
2320000	2320	0.23711429714	0.245549913549	0.354253642567	247	106	141	17	65	9.29075143586
2330000	2330	0.23720418275	0.245549913549	0.354253642567	247	106	141	17	65	9.29075143586
2340000	2340	0.235622831241	0.243245974204	0.3509297607	248	106	142	17	65	9.32600176816
2350000	2350	0.234666532261	0.244530332492	0.352782698033	250	106	144	17	66	9.31512697189
2360000	2360	0.235488597125	0.243667870586	0.351538428519	251	106	145	17	66	9.29655561437
2370000	2370	0.235390537038	0.243667870586	0.351538428519	251	106	145	17	66	9.29655561437
2380000	2380	0.235663032306	0.241355922288	0.348202992175	252	106	146	17	66	9.33419510069
2390000	2390	0.235369479459	0.242479762462	0.349824350819	254	106	148	17	67	9.32965076898
2400000	2400	0.235467960127	0.241320311124	0.348151616125	255	106	149	17	67	9.3241080727
2410000	2410	0.236638896667	0.243559462636	0.351382028907	256	106	150	17	68	9.32621535376
2420000	2420	0.237288354338	0.241963972808	0.349080223644	257	106	151	18	68	9.33790783513
2430000	2430	0.23620327807	0.244465013078	0.352688462038	258	106	152	18	69	9.32884960914
2440000	2440	0.236772870782	0.2434057618	0.351160285473	259	106	153	18	69	9.32035811204
2450000	2450	0.237938932757	0.242582971297	0.349973249694	260	106	154	18	69	9.30327637464
2460000	2460	0.235985753616	0.244078292547	0.352130542246	261	106	155	18	70	9.33174284156
2470000	2470	0.235403214637	0.243057458924	0.350657790641	262	106	156	18	70	9.32273808394
2480000	2480	0.234946587194	0.245393351588	0.354027771403	263	106	157	18	71	9.31802953571
2490000	2490	0.234712378835	0.243364619524	0.351100929715	264	106	158	18	71	9.34796354229
2500000	2500	0.235173229813	0.241989782421	0.349117459045	265	106	159	18	71	9.3535889119
2510000	2510	0.234919003462	0.241989782421	0.349117459045	265	106	159	18	71	9.3535889119
2520000	2520	0.234941666605	0.242091459502	0.349264148065	267	106	161	18	72	9.38665612538
2530000	2530	0.235683685165	0.242091459502	0.349264148065	267	106	161	18	72	9.38665612538
2540000	2540	0.234906349757	0.243171937238	0.350822947936	269	106	163	18	73	9.3812226684
2550000	2550	0.23671863434	0.243171937238	0.350822947936	269	106	163	18	73	9.3812226684
2560000	2560	0.235592851628	0.243790563193	0.351715436535	271	106	165	18	74	9.39305915799
2570000	2570	0.236439900839	0.246298274284	0.355333298889	272	106	166	18	75	9.377382134
2580000	2580	0.236441324063	0.245249851029	0.353820743858	273	106	167	18	75	9.37207588717
2590000	2590	0.235629967308	0.246434911538	0.355530424778	274	106	168	18	76	9.40606868766
2600000	2600	0.236969020241	0.246434911538	0.355530424778	274	106	168	18	76	9.40606868766
