time	time_seconds	lambda1_bits_per_second	lz76_measurement_window_bits_per_second	n_symbols	lz76_phrase_count	alphabet_size	lz76_elapsed_seconds	lz76_mean_event_interval_seconds
7890000	7890	0.312734056967	0.348535127767	838	283	25	7884.88161393	9.40916660374
7900000	7900	0.313573280626	0.348265423778	839	283	25	7892.38596042	9.40689625795
7910000	7910	0.313580895274	0.349007487898	840	284	25	7904.83248264	9.41051486029
7920000	7920	0.313135218559	0.349680191509	841	285	25	7918.80476635	9.41593908008
7930000	7930	0.313225542253	0.349449391322	842	285	25	7925.43312236	9.41262841135
7940000	7940	0.313638915417	0.349039983435	843	285	25	7936.12750812	9.4141488827
7950000	7950	0.313177468698	0.349039983435	843	285	25	7936.12750812	9.4141488827
7960000	7960	0.313333767443	0.349712354162	844	286	25	7950.06048509	9.41950294442
7970000	7970	0.313570963837	0.34929298417	845	286	25	7961.00431426	9.42130688078
7980000	7980	0.31358333236	0.348922766511	846	286	25	7970.84979522	9.42180826858
7990000	7990	0.313453957258	0.349596224534	847	287	25	7984.71040541	9.42704888478
8000000	8000	0.313584057972	0.349143830943	848	287	25	7996.45568109	9.42978264279
8010000	8010	0.313901359611	0.349143830943	848	287	25	7996.45568109	9.42978264279
8020000	8020	0.31355643543	0.349576328404	850	288	25	8017.19010475	9.43198835853
8030000	8030	0.314143494665	0.350331521665	851	289	25	8029.08460705	9.43488202944
8040000	8040	0.314771852772	0.350331521665	851	289	25	8029.08460705	9.43488202944
8050000	8050	0.313440688578	0.349764700849	852	289	25	8043.49630886	9.44072336721
8060000	8060	0.3140382523	0.350665080716	853	290	25	8052.00379325	9.43962930041
8070000	8070	0.313439994394	0.35011147049	854	290	25	8066.13605472	9.44512418585
8080000	8080	0.313341414092	0.349772430584	855	290	25	8075.35451585	9.44485908287
8090000	8090	0.313274186439	0.350537797246	857	291	25	8088.30624818	9.43793027792
8100000	8100	0.315125741834	0.350537797246	857	291	25	8088.30624818	9.43793027792
8110000	8110	0.314048245106	0.350015792897	858	291	25	8101.76770381	9.44261970141
8120000	8120	0.314172084587	0.350881354839	859	292	25	8110.95301168	9.44232015329
8130000	8130	0.315552978865	0.35050414555	860	292	25	8121.08030167	9.44311662985
8140000	8140	0.314705268505	0.351125812607	862	293	25	8137.26108057	9.43997805171
8150000	8150	0.314925801225	0.350687426926	863	293	25	8148.83080514	9.4424458924
8160000	8160	0.314706394099	0.35162927856	864	294	25	8156.13801382	9.43997455303
8170000	8170	0.314276851985	0.351302858609	865	294	25	8165.11305995	9.43943706353
