delta_x	delta_ca	fast_success	gold_success	fast_mode	gold_mode	fast_s_pre	fast_s_img	fast_return_solves	fast_elapsed	gold_s_pre	gold_s_img	gold_return_solves	gold_elapsed	gamma_scs	fast_T_scs	gold_T_scs	match
-1.32	-39.772222222222226	true	true	fallback_local	fallback_global	0.17978051900283673	0.010172519902476888	13	0.130210417	0.18263135240827172	0.0006258974123784522	124	30.432445084	14,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.38	-39.772222222222226	true	true	fallback_local	fallback_global	0.20399277146354197	0.01616650855338775	13	0.180676042	0.20737542034009304	0.005550448946424	124	7.203145208	14,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.44	-39.772222222222226	true	true	fallback_local	fallback_global	0.23728461859701178	0.0037858836043459993	13	0.12210375	0.23831660128321003	0.0008675015250842233	124	45.90564775	14,-1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-39.772222222222226	true	true	fallback_local	fallback_global	0.27057646573048155	0.0023170011256547947	13	0.050377583	0.2701952666205095	0.0033182200518428982	124	6.158146208	-15,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-38.93666666666667	true	true	fallback_global	fallback_global	0.06617890496173373	0.03913698011456966	124	62.313152125	0.06617890496173373	0.03913698011456966	124	62.313152125	13,-1,0,-13,-1	0,-13,1,-1,-1	0,-13,1,-1,-1	true
-1.02	-38.93666666666667	true	true	fallback_global	fallback_global	0.07954621085833191	0.02960325341903044	124	44.631768375	0.07954621085833191	0.02960325341903044	124	44.631768375	13,-2,-3,-13	0,1,-13,-13	0,1,-13,-13	true
-1.08	-38.93666666666667	true	true	fallback_local	fallback_global	0.09409239020810055	0.02057965452007861	13	0.190131542	0.09465568591600099	0.020233596104764228	124	8.9565015	13,-3,1,-1,0	0,0,0,2,-4,2	0,0,0,2,-1,0,1	false
-1.14	-38.93666666666667	true	true	fallback_local	fallback_global	0.11154731430406807	0.01107064308194773	13	0.083150084	0.11152899816870766	0.01107756522669098	124	8.768582709	13,5,-1,0,0	0,0,0,0,-13	0,0,0,0,-13	true
-1.2	-38.93666666666667	true	true	fallback_local	fallback_global	0.12978417641721948	0.005065893156704133	13	0.384773875	0.13082196150092815	0.00212283452381429	124	59.510425958	-14,4,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.26	-38.93666666666667	true	true	fallback_local	fallback_global	0.15100889419529356	0.0008687808045129576	13	0.151046958	0.15073575203333175	0.0019564060211751558	124	53.312490584	-14,0,0,3,-3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.32	-38.93666666666667	true	true	fallback_local	fallback_global	0.17362959444499468	0.001631259132255195	13	0.079153583	0.1735848769470965	0.001796664565318224	124	31.444066167	-14,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
