time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	first_symbol_time	last_symbol_time	mean_event_interval_seconds	lz76_phrase_count
7780000	7780	0.000227245572976	0.327846061196	0.356385773495	814	2211.95160888	7779068.21964	9.56562886597	287
7790000	7790	0.000227752873452	0.328577941077	0.356079391364	815	2211.95160888	7787197.31114	9.56386407805	287
7800000	7800	0.000227927901366	0.328830452981	0.35585198563	816	2211.95160888	7793609.05319	9.55999644366	287
7810000	7810	0.000227992961189	0.328924314465	0.35557826483	817	2211.95160888	7801042.9117	9.55739088246	287
7820000	7820	0.00022744425299	0.328132695867	0.356302417533	818	2211.95160888	7813747.30644	9.56124278437	288
7830000	7830	0.000228127603215	0.329118561848	0.355987455564	819	2211.95160888	7822094.53209	9.55975865584	288
7840000	7840	0.000227497461222	0.32820945912	0.355398215909	820	2211.95160888	7836496.20443	9.56567063837	288
7850000	7850	0.000227965812284	0.328885146874	0.356307237901	821	2211.95160888	7845078.20156	9.56447103653	289
7860000	7860	0.000227549116991	0.328283982642	0.355904733799	822	2211.95160888	7855383.90302	9.56537387504	289
7870000	7870	0.000228332967157	0.32941483939	0.356896735452	823	2211.95160888	7862089.08806	9.56189432658	290
7880000	7880	0.000227615519864	0.328379781738	0.35634217872	824	2211.95160888	7875756.64125	9.56688297648	290
7890000	7890	0.000227620291028	0.328386665072	0.356051199428	825	2211.95160888	7883626.27455	9.56482320745	290
7900000	7900	0.000227854494453	0.328724549192	0.355735346905	826	2211.95160888	7892058.65571	9.56345055043	290
7910000	7910	0.000227192936098	0.327770122234	0.356382807328	827	2211.95160888	7906316.83891	9.56913424613	291
7920000	7920	0.000227214136024	0.327800707261	0.356038106154	828	2211.95160888	7915404.07057	9.56855153441	291
7930000	7930	0.00022718020171	0.327751750395	0.355745880139	829	2211.95160888	7923338.57435	9.56657804679	291
7940000	7940	0.000227144238346	0.327699866228	0.356382130114	831	2211.95160888	7939236.72152	9.56268044568	292
7950000	7950	0.000227480186617	0.328184537134	0.356009720285	832	2211.95160888	7948972.26531	9.56288846414	292
7960000	7960	0.000227894394794	0.328782113216	0.356009720285	832	2211.95160888	7948972.26531	9.56288846414	292
7970000	7970	0.000227121300794	0.327666774335	0.355448413734	833	2211.95160888	7962954.81354	9.56820055521	292
7980000	7980	0.000226928581201	0.327388738735	0.356050630842	835	2211.95160888	7979573.46845	9.56518167487	293
7990000	7990	0.000227148534948	0.327706064915	0.357051143473	836	2211.95160888	7985801.43145	9.5611850058	294
8000000	8000	0.000227169125554	0.32773577088	0.356761859661	837	2211.95160888	7993706.00989	9.559203419	294
8010000	8010	0.000227177176887	0.327747386499	0.356447250943	838	2211.95160888	8002190.0411	9.55791886439	294
8020000	8020	0.000226768894311	0.32715835925	0.355880578042	839	2211.95160888	8016359.61221	9.56342202936	294
8030000	8030	0.000227035593434	0.327543124752	0.355514000024	840	2211.95160888	8026054.03961	9.56357817402	294
8040000	8040	0.000226692565084	0.327048239453	0.355514000024	840	2211.95160888	8026054.03961	9.56357817402	294
8050000	8050	0.000226775248613	0.327167526571	0.354956403939	841	2211.95160888	8040089.98475	9.56890242041	294
8060000	8060	0.000226834489772	0.327252993496	0.355778320725	842	2211.95160888	8050228.73315	9.56958000183	295
8070000	8070	0.000226822850463	0.327236201524	0.356304383322	844	2211.95160888	8068450.25497	9.56849146306	296
8080000	8080	0.000226839186103	0.327259768871	0.356094053671	845	2211.95160888	8074644.33398	9.56449334404	296
8090000	8090	0.000226718355783	0.327085447566	0.355825381024	846	2211.95160888	8082168.64798	9.56207893062	296
8100000	8100	0.000226794657376	0.327195527496	0.355517858575	847	2211.95160888	8090586.40837	9.56072630823	296
8110000	8110	0.000226309647776	0.326495806551	0.354953708	848	2211.95160888	8104870.95996	9.56630343371	296
8120000	8120	0.000226135822134	0.32624502916	0.355824515017	849	2211.95160888	8113777.03715	9.56552486502	297
8130000	8130	0.0002266842141	0.327036191531	0.355532129265	850	2211.95160888	8121876.18794	9.56379768708	297
8140000	8140	0.000226505479353	0.326778331796	0.355046796398	851	2211.95160888	8134403.95009	9.5672847041	297
8150000	8150	0.000226402155768	0.326629267372	0.356013257176	852	2211.95160888	8141062.24777	9.56386638797	298
8160000	8160	0.000226449129196	0.326697035705	0.355439988733	854	2211.95160888	8157044.03461	9.56017829191	298
8170000	8170	0.000226301164377	0.326483567593	0.35514645645	855	2211.95160888	8165210.30143	9.55854607707	298
8180000	8180	0.000226334199593	0.326531227336	0.355884241789	857	2211.95160888	8178474.40618	9.55170847497	299
8190000	8190	0.000226435051826	0.326676726353	0.355590454918	858	2211.95160888	8186653.77286	9.55010714265	299
8200000	8200	0.000226274426965	0.326444993663	0.355383198348	859	2211.95160888	8192850.21762	9.54619844523	299
8210000	8210	0.000226256518976	0.326419157896	0.35599796313	861	2211.95160888	8208898.4042	9.5426586658	300
8220000	8220	0.000226104661506	0.326200073876	0.35599796313	861	2211.95160888	8208898.4042	9.5426586658	300
8230000	8230	0.000225713150829	0.325635243364	0.355436682428	862	2211.95160888	8223280.71954	9.54827963755	300
8240000	8240	0.000225581483855	0.325445288073	0.354920587298	864	2211.95160888	8238080.03462	9.54330021206	300
8250000	8250	0.000225373602853	0.325145379184	0.355820814772	865	2211.95160888	8246047.82429	9.54147670449	301
8260000	8260	0.000225755395414	0.325696189418	0.355529374766	866	2211.95160888	8254226.21785	9.53990088583	301
