delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.32914573	-45.00000000	-44.32623358	0.8779439853	full	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	66.06395245,1503.338864,3258.49422,4455.894601,5832.536697,7004.576822,8328.854898,9493.422262	5083.712501,5769.665873,6699.600367,6972.208158,7799.538413,8230.939885,9120.072818,9742.534406	0.982822308,0.9860232675,0.8402991653,0.8996950684,0.53469724,0.5814381636,0.2355235112,0.2570548615	7.473204127e-15,1.469523507e-14,2.194936195e-14,2.123219463e-14,3.116734469e-14,2.799005762e-14,3.924100024e-14,3.164933395e-14	ok
-1.32412060	-45.00000000	-41.14438936	0.8838678728	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	283.976074,1992.284811,3204.122063,4605.950525,5785.913169,7122.677518,8293.776242,9611.837001	5097.164233,5775.189853,6678.458,6920.175136,7744.609082,8144.887055,9023.759703,9610.766587	0.9923644049,0.9172281129,0.985155851,0.9127098927,0.9798984852,0.8780900854,0.9437920311,0.7106688908	7.475477902e-15,1.413489624e-14,2.110509145e-14,2.066261789e-14,3.082468259e-14,2.791651809e-14,4.053772569e-14,3.324836481e-14	ok
-1.31909548	-45.00000000	-41.88741805	0.8820776295	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	415.4919017,2146.920724,3355.406565,4746.853745,5930.194793,7269.9474,8446.170228,9770.90212	5112.144289,5782.032126,6658.524541,6853.221007,7690.525411,8058.852499,8927.219767,9477.209036	0.9892310641,0.9158770944,0.9830885755,0.8936772725,0.9602659494,0.7654415907,0.8268323538,0.4463333763	6.615676425e-15,1.608790125e-14,2.400224411e-14,2.261226182e-14,3.276101598e-14,3.031003249e-14,4.470130966e-14,3.754813146e-14	ok
-1.31407035	-45.00000000	-42.36306091	0.8802873863	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	544.927645,2285.588044,3497.059906,4890.83247,6079.184839,7425.3984,8607.270284,9939.830271	5128.83114,5790.355227,6639.957111,7637.475881,7972.870863,8830.751433,9342.277829,10276.60211	0.9872114872,0.9059696454,0.9718415167,0.8016743372,0.865499521,0.4883056467,0.5330959118,0.2033692599	6.256522139e-15,1.626454528e-14,2.608765762e-14,3.771955796e-14,3.728465171e-14,5.079389708e-14,4.884047104e-14,6.443550221e-14	ok
-1.30904523	-45.00000000	-42.73261227	0.8784971430	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	672.5934163,2412.562854,3628.251873,5026.883788,6220.588199,7574.023726,8761.662816,10102.34325	5147.434959,5800.350925,6622.938649,7585.6703,7886.746363,8734.676244,9206.40656,10126.6876	0.9863751275,0.9098860012,0.9759118629,0.8293417173,0.8943950853,0.5383335871,0.5875994935,0.2281349356	8.137523777e-15,1.718160719e-14,2.795929989e-14,4.088683824e-14,4.068253863e-14,5.572432082e-14,5.036991627e-14,7.111682995e-14	ok
-1.30402010	-45.00000000	-43.04699345	0.8769135509	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	800.8006142,2541.22832,3761.426541,5165.562158,6364.711878,7725.611882,8919.058087,10267.98641	5168.205282,5812.247314,6607.684413,7535.345308,7799.513546,8639.341311,9070.025568,9975.399123	0.9860630923,0.8787120865,0.9426839179,0.6341750848,0.6910310091,0.2814781524,0.3098603675,0.1019628255	4.08533285e-15,1.720912504e-14,2.927217878e-14,4.426022499e-14,4.454325686e-14,6.07161087e-14,5.868582959e-14,7.762789561e-14	ok
-1.29899497	-45.00000000	-43.32667479	0.8754576762	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	927.0560314,2664.740816,3889.531746,5299.394857,6504.028566,7872.52236,9071.79784,10429.06566	5191.441106,5826.318075,6594.450559,7486.77186,7705.503959,8545.123648,8933.521973,9823.383904	0.9859427385,0.8942612955,0.9587821662,0.705034722,0.7662491432,0.3377818378,0.3720639687,0.1221717292	2.325304522e-15,1.603679705e-14,2.934717429e-14,4.364000084e-14,4.334179225e-14,6.199327592e-14,5.979366576e-14,8.33588802e-14	ok
-1.29396985	-45.00000000	-43.58303873	0.8742084526	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1053.254821,2789.349131,4018.771622,5434.496964,6644.641362,8020.835081,9225.956967,10591.64658	5217.503838,5842.894749,6583.545566,7440.265458,8452.437137,8797.141966,9671.344947,10203.01477	0.9858885945,0.8563021387,0.919067358,0.5367990554,0.5888060823,0.2080807282,0.2302536996,0.07062274	3.764814747e-15,1.730568943e-14,3.219498306e-14,5.199520782e-14,7.528950234e-14,7.486140012e-14,9.85901819e-14,9.373692453e-14	ok
-1.28894472	-45.00000000	-43.82155037	0.8731658801	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	1179.426731,2915.065786,4149.146266,5570.84539,6786.522658,8170.514101,9381.49771,10755.69012	5246.834862,5862.383144,6575.345594,7396.200174,8361.743251,8660.65723,9520.040624,9997.047558	0.9858575729,-0.7797988676,-0.8525419435,-0.3905606937,-0.431376413,-0.134601663,-0.1493808361,-0.04397199346	4.578835506e-15,1.944512213e-14,3.711635514e-14,5.719776398e-14,8.043133668e-14,8.077467391e-14,1.094352679e-13,1.049326826e-13	ok
-1.28391960	-45.00000000	-44.04517395	0.8723299587	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	1305.644198,3041.966604,4280.725475,5708.498274,6929.729038,8321.614249,9538.472997,10921.24631	5279.979293,5885.285602,6570.315478,7355.028195,8273.567366,8521.547961,9370.289136,9790.834694	0.9858349079,-0.9107846824,-0.9800229165,-0.8529180478,-0.9193352636,-0.5590772811,-0.6134313487,-0.2158538752	3.228712172e-16,2.043746958e-14,4.016454893e-14,6.423522403e-14,9.30304708e-14,9.256535584e-14,1.209071579e-13,1.144694998e-13	ok
-1.27889447	-45.00000000	-44.25540002	0.8716217548	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	14.27018608,1427.707647,3161.500952,4404.964402,5838.923883,7065.729352,8465.606847,9688.353993	5317.618426,5912.231549,6569.037753,7317.3072,8188.523026,9222.981071,9585.26108,10476.74132	0.9559690042,0.9858119682,-0.9121714641,-0.9813368874,-0.8650875575,-0.9317388233,-0.5892785037,-0.646344973	8.376360685e-16,2.325665937e-14,4.614644889e-14,7.427122722e-14,1.058316806e-13,1.405175558e-13,1.377479195e-13,1.771653372e-13	ok
