delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.34924623	-45.00000000	-43.53352967	0.8809834522	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1115.842424,2879.776855,4059.316608,5415.63544,6566.431687,7863.098668,9004.949971,10282.48085	836.7128483,4597.426618,5164.766396,5780.169471,6470.657139,7260.086071,8175.648633,8439.448483	0.9861165844,0.9030901953,0.9691157721,0.8064562063,0.8682758165,0.5391755776,0.5826237807,0.2611717321	0.9900170029,-0.9233850954,-0.9568708941,-0.9605194322,-0.9587130325,-0.9563329959,-0.9532486847,-0.5695480512	ok
-1.34422111	-45.00000000	-43.74948560	0.8800685971	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1241.630067,3006.257392,4190.234629,5551.506681,6707.57633,8011.009368,9158.504545,10443.63648	832.9383982,4643.701588,5201.302736,5791.859439,6451.196011,7201.704141,8068.083465,9083.448211	0.9860917583,-0.7643075284,-0.8314314867,-0.4290045171,-0.4654852174,-0.184605863,-0.2004203336,-0.07557517095	0.9900261027,-0.9165383561,-0.9479668801,-0.9518158632,-0.9498323093,-0.9471330517,-0.9436355963,-0.9384311947	ok
-1.33919598	-45.00000000	-43.95233463	0.8791537421	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1357.269598,3113.848059,4302.276967,5668.577912,6829.945139,8140.232811,9293.395318,10586.21126	829.2096979,4696.032592,5243.363225,5808.642336,6436.358994,7147.480425,7964.139862,8916.194757	0.986063673,0.9146511792,0.981714251,0.8859025441,0.9520623316,0.7485594553,0.807172557,0.4472753343	0.9900351698,-0.9064422665,-0.9354489255,-0.9394105378,-0.9372304366,-0.9341878392,-0.9302412959,-0.9245574982	ok
-1.33417085	-45.00000000	-44.14538860	0.8786521893	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	47.99052168,1486.358074,3248.036356,4440.941702,5812.369935,6979.061269,8296.298269,9455.151868	825.5258359,4755.645528,5292.098997,5831.614043,6427.20169,7098.471447,7864.979108,8753.107884	0.9658524993,0.9860483843,-0.9083298165,-0.9784267997,-0.8597709315,-0.9247243142,-0.6500576593,-0.7029332344	0.9900442046,-0.8917627078,-0.917908606,-0.9218475349,-0.9194482634,-0.9160494243,-0.9116435953,-0.9054763422	ok
-1.32914573	-45.00000000	-44.32623358	0.8779439853	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	66.06395245,1503.338864,3258.49422,4455.894601,5832.536697,7004.576822,8328.854898,9493.422262	5083.712293,5769.665615,6699.600152,6972.208069,7799.538208,8230.939737,9120.072547,9742.534116	0.982822308,0.9860232675,0.8402991653,0.8996950684,0.53469724,0.5814381636,0.2355235112,0.2570548615	-0.9352125258,-0.9821234908,-0.9831881707,-0.5823915285,-0.9830048552,-0.8943883192,-0.9828125755,-0.9685823566	ok
-1.32412060	-45.00000000	-41.14438936	0.8838678728	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	283.976074,1992.284811,3204.122063,4605.950525,5785.913169,7122.677518,8293.776242,9611.837001	5097.164009,5775.189596,6678.457785,6920.175062,7744.60888,8144.886925,9023.759448,9610.76633	0.9923644049,0.9172281129,0.985155851,0.9127098927,0.9798984852,0.8780900854,0.9437920311,0.7106688908	-0.9356495462,-0.9817502559,-0.9829442599,-0.5416317136,-0.9826902015,-0.8426669851,-0.9824551829,-0.9722487635	ok
-1.31909548	-45.00000000	-41.88741805	0.8820776295	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	415.4919017,2146.920724,3355.406565,4746.853745,5930.194793,7269.9474,8446.170228,9770.90212	5112.144089,5782.03187,6658.524324,6853.221315,7690.52521,8058.852371,8927.219518,9477.2088	0.9892310641,0.9158770944,0.9830885755,0.8936772725,0.9602659494,0.7654415907,0.8268323538,0.4463333763	-0.9360473476,-0.981303079,-0.9826474618,-0.5612273716,-0.9823129898,-0.7775331352,-0.9820229872,-0.9711634467	ok
-1.31407035	-45.00000000	-42.36306091	0.8802873863	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	544.927645,2285.588044,3497.059906,4890.83247,6079.184839,7425.3984,8607.270284,9939.830271	5128.830935,5790.354972,6639.956895,7637.475682,7972.870745,8830.751198,9342.277594,10276.60172	0.9872114872,0.9059696454,0.9718415167,0.8016743372,0.865499521,0.4883056467,0.5330959118,0.2033692599	-0.936387754,-0.980758757,-0.9822774482,-0.9818528267,-0.7031713658,-0.9814933584,-0.9605348747,-0.9806422194	ok
-1.30904523	-45.00000000	-42.73261227	0.8784971430	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	672.5934163,2412.562854,3628.251873,5026.883788,6220.588199,7574.023726,8761.662816,10102.34325	5147.434734,5800.350671,6622.938431,7585.670101,7886.746254,8734.676016,9206.406364,10126.68724	0.9863751275,0.9098860012,0.9759118629,0.8293417173,0.8943950853,0.5383335871,0.5875994935,0.2281349356	-0.9366445895,-0.9800847372,-0.981804602,-0.981280403,-0.6265413663,-0.9808345875,-0.9337043296,-0.9799388233	ok
-1.30402010	-45.00000000	-43.04699345	0.8769135509	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	800.8006142,2541.22832,3761.426541,5165.562158,6364.711878,7725.611882,8919.058087,10267.98641	5168.205079,5812.247061,6607.684193,7535.345108,7799.513447,8639.341089,9070.025377,9975.39879	0.9860630923,0.8787120865,0.9426839179,0.6341750848,0.6910310091,0.2814781524,0.3098603675,0.1019628255	-0.9367796463,-0.9792345596,-0.9811852799,-0.9805528507,-0.5583723893,-0.9800013409,-0.8839425931,-0.9790415911	ok
-1.29899497	-45.00000000	-43.32667479	0.8754576762	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	927.0560314,2664.740816,3889.531746,5299.394857,6504.028566,7872.52236,9071.79784,10429.06566	5191.440907,5826.317825,6594.450341,7486.771662,7705.503931,8545.123436,8933.52181,9823.383602	0.9859427385,0.8942612955,0.9587821662,0.705034722,0.7662491432,0.3377818378,0.3720639687,0.1221717292	-0.9367363067,-0.9781407003,-0.9803543584,-0.9796063683,-0.5267772123,-0.9789274379,-0.8085687223,-0.9778792894	ok
-1.29396985	-45.00000000	-43.58303873	0.8742084526	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1053.254821,2789.349131,4018.771622,5434.496964,6644.641362,8020.835081,9225.956967,10591.64658	5217.503626,5842.894501,6583.545347,7440.265258,8452.436928,8797.141814,9671.344665,10203.01445	0.9858885945,0.8563021387,0.919067358,0.5367990554,0.5888060823,0.2080807282,0.2302536996,0.07062274	-0.9364292866,-0.9767031423,-0.9792133169,-0.9783443375,-0.9775141768,-0.7130505777,-0.9763473166,-0.9589416048	ok
-1.28894472	-45.00000000	-43.82155037	0.8731658801	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1179.426731,2915.065786,4149.146266,5570.84539,6786.522658,8170.514101,9381.49771,10755.69012	5246.834647,5862.382896,6575.345372,7396.199974,8361.743047,8660.657096,9520.040359,9997.047292	0.9858575729,-0.7797988676,-0.8525419435,-0.3905606937,-0.431376413,-0.134601663,-0.1493808361,-0.04397199346	-0.9357278714,-0.9747708278,-0.9776108961,-0.9766179224,-0.9756112005,-0.6115640323,-0.9742887544,-0.9272509733	ok
-1.28391960	-45.00000000	-44.04517395	0.8723299587	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1305.644198,3041.966604,4280.725475,5708.498274,6929.729038,8321.614249,9538.472997,10921.24631	5279.979088,5885.285355,6570.315256,7355.027989,8273.567161,8521.547848,9370.288887,9790.834455	0.9858349079,-0.9107846824,-0.9800229165,-0.8529180478,-0.9193352636,-0.5590772811,-0.6134313487,-0.2158538752	-0.9344281473,-0.9721111797,-0.9753113228,-0.9741940643,-0.9729847936,-0.5296523758,-0.9714631449,-0.8548665514	ok
