delta_x	delta_ca	gamma_encoding	gamma_scs	status
-1.427856	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.425852	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.423848	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.421844	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.419840	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.417836	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.415832	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.413828	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.411824	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.409820	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.407816	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.405812	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.403808	-38.236473	2659944	-14,0,0,0,0,0	ok
-1.401804	-38.236473	4438	-14,0,0,0,0	ok
-1.399800	-38.236473	4438	-14,0,0,0,0	ok
-1.397796	-38.236473	4438	-14,0,0,0,0	ok
-1.395792	-38.236473	4438	-14,0,0,0,0	ok
-1.393788	-38.236473	27450318	-14,0,0,-1,0,0	ok
-1.391784	-38.236473	1230069	-14,0,-1,1,0	ok
-1.389780	-38.236473	4834468	-14,0,-1,0,0,0	ok
-1.387776	-38.236473	28414	-14,0,1,0,0	ok
-1.385772	-38.236473	5080051	-14,-1,-1,0,0,0	ok
-1.383768	-38.236473	2816724	-14,-1,0,0,0,0	ok
-1.381764	-38.236473	2816724	-14,-1,0,0,0,0	ok
-1.379760	-38.236473	2816724	-14,-1,0,0,0,0	ok
-1.377756	-38.236473	6876	-14,1,0,0,0	ok
-1.375752	-38.236473	6876	-14,1,0,0,0	ok
-1.373747	-38.236473	722976	-14,1,0,1,0	ok
-1.371743	-38.236473	10413	-14,2,0,0,0	ok
-1.369739	-38.236473	34427	13,9,0,0	ok
-1.367735	-38.236473	15199	13,3,0,0,0	ok
-1.365731	-38.236473	322780	13,2,1,-1,0	ok
-1.363727	-38.236473	10270	13,2,0,0,0	ok
-1.361723	-38.236473	10270	13,2,0,0,0	ok
-1.359719	-38.236473	3148769	13,-2,0,0,0,0	ok
-1.357715	-38.236473	8359	13,-2,0,0,0	ok
-1.355711	-38.236473	8359	13,-2,0,0,0	ok
-1.353707	-38.236473	3517852	13,-2,5,0	ok
-1.351703	-38.236473	38755	13,1,1,0,0	ok
-1.349699	-38.236473	15905	13,1,-1,0,0	ok
-1.347695	-38.236473	752972195	13,1,-1,0,-1,0	ok
-1.345691	-38.236473	721775	13,1,0,1,0	ok
-1.343687	-38.236473	52949	13,1,0,-1,0	ok
-1.341683	-38.236473	38508916868164	13,1,0,-1,2	ok
-1.339679	-38.236473	47584864	13,1,0,0,1	ok
-1.337675	-38.236473	135955	13,1,0,0,-1	ok
-1.335671	-38.236473	6760	13,1,0,0,0	ok
-1.333667	-38.236473	6760	13,1,0,0,0	ok
-1.331663	-38.236473	6760	13,1,0,0,0	ok
-1.329659	-38.236473	6760	13,1,0,0,0	ok
-1.327655	-38.236473	6760	13,1,0,0,0	ok
-1.325651	-38.236473	6760	13,1,0,0,0	ok
-1.323647	-38.236473	6760	13,1,0,0,0	ok
-1.321643	-38.236473	6760	13,1,0,0,0	ok
-1.319639	-38.236473	6760	13,1,0,0,0	ok
-1.317635	-38.236473	6760	13,1,0,0,0	ok
-1.315631	-38.236473	6760	13,1,0,0,0	ok
-1.313627	-38.236473	6760	13,1,0,0,0	ok
-1.311623	-38.236473	6760	13,1,0,0,0	ok
-1.309619	-38.236473	6760	13,1,0,0,0	ok
-1.307615	-38.236473	6760	13,1,0,0,0	ok
-1.305611	-38.236473	6760	13,1,0,0,0	ok
-1.303607	-38.236473	6760	13,1,0,0,0	ok
-1.301603	-38.236473	6760	13,1,0,0,0	ok
-1.299599	-38.236473	6760	13,1,0,0,0	ok
-1.297595	-38.236473	6760	13,1,0,0,0	ok
-1.295591	-38.236473	6760	13,1,0,0,0	ok
-1.293587	-38.236473	6760	13,1,0,0,0	ok
-1.291583	-38.236473	6760	13,1,0,0,0	ok
-1.289579	-38.236473	6760	13,1,0,0,0	ok
-1.287575	-38.236473	6760	13,1,0,0,0	ok
-1.285571	-38.236473	6760	13,1,0,0,0	ok
-1.283567	-38.236473	6760	13,1,0,0,0	ok
-1.281563	-38.236473	6760	13,1,0,0,0	ok
-1.279559	-38.236473	5434	13,-1,0,0,0	ok
-1.277555	-38.236473	5434	13,-1,0,0,0	ok
-1.275551	-38.236473	5434	13,-1,0,0,0	ok
-1.273547	-38.236473	5434	13,-1,0,0,0	ok
-1.271543	-38.236473	5434	13,-1,0,0,0	ok
-1.269539	-38.236473	5434	13,-1,0,0,0	ok
-1.267535	-38.236473	5434	13,-1,0,0,0	ok
-1.265531	-38.236473	5434	13,-1,0,0,0	ok
-1.263527	-38.236473	5434	13,-1,0,0,0	ok
-1.261523	-38.236473	5434	13,-1,0,0,0	ok
-1.259519	-38.236473	5434	13,-1,0,0,0	ok
