delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.184211	-30.263158	26	62256106217378639	85	66720925908142496	-1,-9,9,10	10,10,10,10	ok
-1.184211	-29.578947	22	32479801288134452	79	31293739669567733	-1,9,10,-10	10,10,-10,-10	ok
-1.184211	-28.894737	91	489473969894105793290234580880619	78	31288144257776695	-1,9,-10,-10,-10	10,-10,-10,-10	ok
-1.184211	-28.210526	90	453895729641538607484895107171494	70	14732317585058792	-1,9,-10,9,-10	-10,9,-10,9	ok
-1.184211	-27.526316	84	108520588184674852847904761334452	76	31282549346268347	-1,9,9,-10,9	-10,9,-10,-10	ok
-1.184211	-26.842105	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.184211	-26.157895	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.184211	-25.473684	83	99887480609913094787319783397708	68	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-1.184211	-24.789474	75	18771403874319085238597720436376	57	6127218708778185	1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.184211	-24.105263	75	18771403874319085238597720436376	56	6127218598078424	1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.184211	-23.421053	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.184211	-22.736842	70	17113432059335363421900214640502	52	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.184211	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-20.000000	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.131579	-33.000000	103	4678434570682302705257372778526325	39	11285551534943	-1,1,11,5,-11	11,-11,-11,5	ok
-1.131579	-32.315789	24	57974774109959030	19	154642470	-1,-3,8,10	-11,7,9	ok
-1.131579	-31.631579	26	62256106217378639	83	62274862644854475	-1,-9,9,10	-11,-10,9,10	ok
-1.131579	-30.947368	21	31288139504878815	85	66720925908142496	-1,-10,-10,-10	10,10,10,10	ok
-1.131579	-30.263158	21	31288139504878815	85	66720925908142496	-1,-10,-10,-10	10,10,10,10	ok
-1.131579	-29.578947	21	31288139504878815	79	31293739669567733	-1,-10,-10,-10	10,10,-10,-10	ok
-1.131579	-28.894737	92	489473977720914081937327972658195	78	31288144257776695	-1,-10,-10,-10,-10	10,-10,-10,-10	ok
-1.131579	-28.210526	90	453895729641538607484895107171494	70	14732317585058792	-1,9,-10,9,-10	-10,9,-10,9	ok
-1.131579	-27.526316	86	108567450145445918247420788024204	70	14732317585058792	-1,9,-10,-10,9	-10,9,-10,9	ok
-1.131579	-26.842105	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.131579	-26.157895	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.131579	-25.473684	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.131579	-24.789474	74	18771403874319079111379122357950	57	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.131579	-24.105263	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.131579	-23.421053	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.131579	-22.736842	71	17113432059335369272273204345579	52	2671081176279736	1,8,-9,8,-9	-9,8,-9,8	ok
-1.131579	-22.052632	65	3219630870954876619036561359868	50	2537570046700137	1,8,8,8,8	8,8,8,8	ok
-1.131579	-21.368421	65	3219630870954876619036561359868	50	2537570046700137	1,8,8,8,8	8,8,8,8	ok
-1.131579	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.131579	-20.000000	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.078947	-33.000000	29	117320886796340702	93	137520069382767449	-1,-8,8,-11	11,-11,-11,-11	ok
-1.078947	-32.315789	30	133256391358893179	90	133256401683868569	-1,10,10,-11	-11,10,10,-11	ok
-1.078947	-31.631579	30	133256391358893179	90	133256401683868569	-1,10,10,-11	-11,10,10,-11	ok
-1.078947	-30.947368	27	66720918967500902	85	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.078947	-30.263158	27	66720918967500902	85	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.078947	-29.578947	92	489473977720914081937327972658195	78	31288144257776695	-1,-10,-10,-10,-10	10,-10,-10,-10	ok
-1.078947	-28.894737	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.078947	-28.210526	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.078947	-27.526316	84	108520588184674852847904761334452	76	31282549346268347	-1,9,9,-10,9	-10,9,-10,-10	ok
-1.078947	-26.842105	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.078947	-26.157895	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.078947	-25.473684	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.078947	-24.789474	74	18771403874319079111379122357950	57	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.078947	-24.105263	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.078947	-23.421053	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.078947	-22.736842	66	3567337129908398802593659638902	54	5848782350016823	-1,8,8,-9,8	-9,8,8,-9	ok
-1.078947	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
