category_id	count	encoding	T_scs	gamma_scs
5476	1	6944306467315503158519443601041649093230627539370249631789804796	-1,1,9,10,9	10,10,-2,1
5477	1	6944306467315504154594851233319714730794022709363190197572408211	-1,1,9,10,9	10,10,3,9
5478	1	6944306467315505051973719548060777339538519390562351503208369556	-1,1,9,10,9	10,10,1,-10
5479	1	6944306784355471575788166829501330182020155306354402435079485231	-1,-2,9,10,9	10,-10,-2,1
5480	1	6956185006489051052739861570903060717355439173051680084316926213	-1,0,10,10,9	-11,10,-6,0
5481	1	6956185006489051052740027562816248375235836355587484741469969963	-1,0,10,10,9	10,10,10,1
5482	1	6956185006489052858942726448604710516303946231785793830250660102	-1,0,10,10,9	-11,3,10,9
5483	1	6956185959032415702049664668730114961282421924143785014700080497	-1,-2,10,10,9	10,10,10,10
5484	1	6956191356780288303961965095769521430316915156528033833613405800	-1,0,0,0,9,0	11,0,-1,0,0
5485	1	6956191356780290115577911886211003985670785380895354034965131391	1,0,0,0,9,0	10,9,0,-1,0
5486	1	6956191356780290115577912158332026796431437124432774250218671750	1,0,0,0,9,0	-11,0,0,0,0,0
5487	1	6956191356780322523915208673745463441973548199565881512365267038	1,0,0,0,9,0	-11,0,0,0,3
5488	1	6956191674294987897172833244298049219894036100127631460072837285	1,1,-1,-1,-10	10,9,7,10
5489	1	6962138089740642815850722568932829778203628766062252752609992922	-1,0,-1,0,9,0	11,2,-5,0
5490	1	6962138089740644628628085551397364789134695486446620190938068969	1,0,-1,0,9,0	10,5,0,1,0
5491	1	6962138089740764812119206056509927858964576260564430396669000539	-1,0,-1,0,9,0	11,-1,-2,1,3
5492	1	6968089588508789490178763111035921098150985372739032432631145733	-1,0,1,0,9,0	10,0,2,1
5493	1	6968089588508793939877252463485128167156014062457873848660569148	-1,0,1,0,9,0	11,0,2,10
5494	1	6980006897729350595245838146376572632291471059639573746834305474	-1,0,2,0,9,0	10,0,9,1,0
