delta_x	success	mode	s_pre	s_img	residual	return_solves	elapsed_seconds	anchor_checked	anchor_match	anchor_s_pre	anchor_s_img	anchor_residual	s_diff	img_diff	fast_T_scs	anchor_T_scs	message
-0.740506329113924	true	predict	0.03031992620790913	0.09373571810489467	6.251768159108717e-5	68	0.092205375	true	true	0.030312265109055072	0.09363140800924927	0.00010431009564540461	7.66109885405944e-6	0.00010431009564540461	12,12,12	12,12,12	
-0.7278481012658228	true	predict	0.02881677825537208	0.09580825802504726	6.530854011194132e-5	6	0.004487625	false	false	NaN	NaN	NaN	NaN	NaN			
-0.7151898734177216	true	predict	0.027360774614919776	0.09781255909278547	6.823885241438732e-5	6	0.004206584	false	false	NaN	NaN	NaN	NaN	NaN			
-0.7025316455696202	true	predict	0.02595126772240086	0.09974555369008073	7.130647044295557e-5	6	0.004798417	false	false	NaN	NaN	NaN	NaN	NaN			
-0.689873417721519	true	predict	0.02458757198370128	0.10160405512641177	7.44931609642091e-5	6	0.004514083	false	false	NaN	NaN	NaN	NaN	NaN			
-0.6772151898734177	true	predict	0.023268962509309328	0.10338476645687274	7.779010587008472e-5	6	0.004432042	false	false	NaN	NaN	NaN	NaN	NaN			
-0.6645569620253164	true	predict	0.021994671259276188	0.10508430980574639	8.116798158730454e-5	6	0.004433833	false	false	NaN	NaN	NaN	NaN	NaN			
-0.6518987341772152	true	predict	0.02076388204910505	0.10669926209540607	8.459105921396204e-5	6	0.004677958	false	false	NaN	NaN	NaN	NaN	NaN			
-0.6392405063291139	true	fallback_local	0.02	0.11699018070252762	0.008675966317461842	88	0.128353042	true	true	0.02	0.11699018070252762	0.0	0.0	0.0	12,12,12	12,12,12	
-0.6265822784810127	false	failed	NaN	NaN	0.0309961208395797	26	0.019671541	false	false	NaN	NaN	NaN	NaN	NaN			Residual too large for continuation acceptance.
-0.6139240506329114	false	failed	NaN	NaN	0.09502237338225081	26	0.021231792	false	false	NaN	NaN	NaN	NaN	NaN			Residual too large for continuation acceptance.
-0.6012658227848101	false	failed	NaN	NaN	Inf	16	0.015981709	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5886075949367089	false	failed	NaN	NaN	Inf	16	0.016952416	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5759493670886076	false	failed	NaN	NaN	Inf	16	0.019264375	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5632911392405063	false	failed	NaN	NaN	Inf	16	0.024494417	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5506329113924051	false	failed	NaN	NaN	Inf	16	0.04052425	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5379746835443038	false	failed	NaN	NaN	Inf	16	0.060225833	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5253164556962026	false	failed	NaN	NaN	Inf	16	0.061589583	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5126582278481012	false	failed	NaN	NaN	Inf	16	0.06298	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
-0.5	false	failed	NaN	NaN	Inf	16	0.065307875	false	false	NaN	NaN	NaN	NaN	NaN			No valid one-spike preimage found in fast or fallback windows.
