delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.459184	-27.142857	-48.259651	0.802762	continued[1]:5	276	12949356768723377	558	7248301580501	-1,0,8,9	-10,0,-9,5	ok
-1.459184	-26.632653	-47.696685	0.802929	continued[1]:5	197	2565698035910	603	5845602043817237	-1,0,9,-5	-10,7,8,-9	ok
-1.459184	-26.122449	-47.084216	0.804178	continued[1]:5	254	6386545181259752	629	13001404085584435	-1,0,9,-9	9,9,8,9	ok
-1.459184	-25.612245	-46.435437	0.806637	continued[1]:5	156	9752108652	619	7728078989112985	-1,-1,1,-4	9,9,2,9	ok
-1.459184	-25.102041	-45.755115	0.809431	continued[1]:5	95	411285539	596	2973900863585010	-1,1,-9,1	9,-9,1,-9	ok
-1.459184	-24.591837	-49.674722	0.795302	full	275	11910983231300615	552	2643720204828	-1,2,7,9	9,8,9,-5	ok
-1.459184	-24.081633	-49.214612	0.793925	continued[1]:5	229	2280910124469375	605	5848782458172103	-1,-4,7,8	9,8,8,-9	ok
-1.459184	-23.571429	-48.680812	0.793217	continued[1]:5	225	1118758120809635	599	5081620856863042	-1,6,-9,-8	9,-8,-7,-9	ok
-1.459184	-23.061224	-48.079631	0.793718	continued[1]:5	240	2669313200201559	585	2669314369256143	-1,7,-9,8	-9,7,-9,8	ok
-1.459184	-22.551020	-47.421927	0.795509	continued[1]:5	221	998766650140877	584	2537570117940154	-1,-8,-8,-8	-9,8,8,8	ok
-1.459184	-22.040816	-46.719131	0.798302	continued[1]:5	236	2536718799892277	583	2537570046700137	-1,-8,8,8	8,8,8,8	ok
-1.459184	-21.530612	-45.972865	0.801095	continued[1]:5	237	2537568978100002	583	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.459184	-21.020408	-50.132216	0.787019	full	237	2537568978100002	583	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.459184	-20.510204	-49.657594	0.784354	continued[1]:5	231	2409126743731619	583	2537570046700137	-1,-8,-8,8	8,8,8,8	ok
-1.459184	-20.000000	-49.101859	0.783852	continued[1]:5	221	998766650140877	573	1058369389236419	-1,-8,-8,-8	8,8,8,-8	ok
-1.438776	-45.000000										error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.438776	-44.489796										error: T SSCS does not start with ±1: [-2, -2, -1, -1]
-1.438776	-43.979592	-45.396731	0.850878	continued[1]:5	12	2344	139	12055	1,-1,-1,-1	-18,-1,1,-1	ok
-1.438776	-43.469388	-45.110491	0.849295	continued[1]:5	2	89	25	1001	1,0,0,0	17,0,0,0	ok
-1.438776	-42.959184	-44.799780	0.848587	continued[1]:5	2	89	22	957	1,0,0,0	-17,0,0,0	ok
-1.438776	-42.448980	-44.468086	0.848547	continued[1]:5	2	89	19	914	1,0,0,0	16,0,0,0	ok
-1.438776	-41.938776	-44.116441	0.849049	continued[1]:5	2	89	19	914	1,0,0,0	16,0,0,0	ok
-1.438776	-41.428571	-44.057427	0.848380	continued[3]:5	2	89	17	872	1,0,0,0	-16,0,0,0	ok
-1.438776	-40.918367	-45.960213	0.841015	continued[2]:5	2	89	15	831	1,0,0,0	15,0,0,0	ok
-1.438776	-40.408163	-45.603140	0.839973	continued[1]:5	2	89	15	831	1,0,0,0	15,0,0,0	ok
-1.438776	-39.897959	-45.222120	0.839806	continued[1]:5	2	89	13	791	1,0,0,0	-15,0,0,0	ok
-1.438776	-39.387755	-44.821196	0.840307	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.438776	-38.877551	-44.404400	0.841556	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.438776	-38.367347	-44.345721	0.840888	continued[3]:5	2	89	10	714	1,0,0,0	-14,0,0,0	ok
-1.438776	-37.857143	-45.573581	0.833707	continued[2]:5	2	89	16	835	1,0,0,0	13,-1,0,0	ok
-1.438776	-37.346939	-45.130416	0.834543	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.438776	-36.836735	-44.672088	0.836126	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.438776	-36.326531	-44.638711	0.835251	continued[3]:5	1	77	6	641	-1,0,0,0	-13,0,0,0	ok
-1.438776	-35.816327	-47.685599	0.825217	full	1	77	112	5754	-1,0,0,0	12,-5,0,0	ok
-1.438776	-35.306122	-47.287289	0.823634	continued[1]:5	1	77	321	5073681	-1,0,0,0	12,0,0,2	ok
-1.438776	-34.795918	-46.845316	0.822719	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.438776	-34.285714	-46.366635	0.822680	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.438776	-33.775510	-45.859040	0.823515	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.438776	-33.265306	-45.331308	0.825306	continued[1]:5	1	77	122	7117	-1,0,0,0	-12,5,0,0	ok
-1.438776	-32.755102	-44.792109	0.828099	continued[1]:5	1	77	18	881	-1,0,0,0	11,1,0,0	ok
-1.438776	-32.244898	-44.773199	0.827371	continued[3]:5	1	77	280	719378	-1,0,0,0	11,0,4,0	ok
-1.438776	-31.734694	-47.853412	0.815613	continued[2]:5	1	77	562	45691078519079	-1,0,0,0	11,0,0,-7	ok
-1.438776	-31.224490	-47.365951	0.812819	continued[1]:5	1	77	2	539	-1,0,0,0	11,0,0,0	ok
-1.438776	-30.714286	-46.831426	0.812859	continued[1]:5	1	77	1	507	-1,0,0,0	-11,0,0,0	ok
-1.438776	-30.204082	-46.262557	0.814236	continued[1]:5	6	464	203	62460	-1,0,0,-1	-11,10,-1,0	ok
-1.438776	-29.693878	-45.670771	0.816695	continued[1]:5	100	741336764	217	83825	-1,0,0,3	10,9,-1,-1	ok
-1.438776	-29.183673	-44.989382	0.820698	continued[2]:5	104	1019374127	120	7001	-1,0,-1,3	10,4,-1,0	ok
-1.438776	-28.673469	-49.170618	0.800042	full	211	214540459745045	613	6422304408040691	-1,0,3,7	10,-2,0,9	ok
-1.438776	-28.163265	-48.743264	0.802835	continued[1]:5	55	3459764	563	139563770629585	-1,0,-4,1	10,-1,0,7	ok
-1.438776	-27.653061	-48.251705	0.801920	continued[1]:5	82	115938377	632	14078765754022811	-1,0,-9,0	-10,0,9,9	ok
-1.438776	-27.142857	-47.700332	0.801881	continued[1]:5	282	14078762733585902	632	14078765754022811	-1,0,9,9	-10,0,9,9	ok
-1.438776	-26.632653	-47.100142	0.803130	continued[1]:5	255	6388244408348145	615	6747375082889852	-1,-1,9,-9	-10,-9,-1,9	ok
-1.438776	-26.122449	-46.461940	0.805382	continued[1]:5	226	1186497012149190	376	254916892	-1,-1,1,8	9,9,-9,-1	ok
-1.438776	-25.612245	-45.792323	0.808176	continued[1]:5	171	17940062909	580	2289557776725685	-1,1,9,-3	9,9,7,8	ok
