delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-0.944444	-39.444444	-45.858935	0.789761	continued[1]:5	43	1818078296518131494	20	2924545	-1,1,12,-13	13,12,-1,-2	ok
-0.944444	-36.666667	-45.421068	0.786968	continued[1]:5	16	19749886884	23	1033010307	-1,11,-12,2	12,-12,-12	ok
-0.944444	-33.888889	-45.210798	0.788941	continued[2]:5	36	137537043494289210	55	137537054508265638	-1,11,-11,-11	11,11,-11,-11	ok
-0.944444	-31.111111	-48.950695	0.764791	continued[2]:5	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.944444	-28.333333	-49.822295	0.746937	full	32	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.944444	-25.555556	-49.516896	0.744143	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.944444	-22.777778	-49.125108	0.741350	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-20.000000	-48.631179	0.738557	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.833333	-45.000000	-46.342612	0.792555	continued[1]:5	9	4510505	31	39665473622	-1,1,2,-2	-16,0,-16,-2	ok
-0.833333	-42.222222	-46.121251	0.789761	continued[1]:5	46	3438017675023332830	19	1570850	-1,-14,0,-14	14,-14,-3,-1	ok
-0.833333	-39.444444	-45.546351	0.786968	continued[2]:5	42	1141209934876648350	60	1777327259257775915	-1,-13,2,-13	-13,-2,-12,-13	ok
-0.833333	-36.666667	-45.157522	0.784175	continued[1]:5	40	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.833333	-33.888889	-44.799225	0.786148	continued[2]:5	35	137520058369471127	54	137520069382767449	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.833333	-31.111111	-49.641684	0.736811	full	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.833333	-28.333333	-49.334991	0.734352	continued[1]:5	32	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.833333	-25.555556	-48.939232	0.731559	continued[1]:5	26	6127216826882384	42	6127218708778185	-1,-9,-9,-9	9,-9,-9,-9	ok
-0.833333	-22.777778	-48.437371	0.728765	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.833333	-20.000000	-47.809415	0.725972	continued[1]:5	20	998766650140877	34	998767320547562	-1,-8,-8,-8	8,-8,-8,-8	ok
-0.722222	-45.000000	-46.992853	0.769501	full	51	11482848972625936126	18	1106297	1,-1,-3,-15	-16,15,-3,0	ok
-0.722222	-42.222222	-46.719006	0.766708	continued[1]:5	47	5933862693397994354	25	1975846926	-1,-2,-14,-14	-14,-1,13	ok
-0.722222	-39.444444	-46.373712	0.763915	continued[1]:5	44	1862522110322978202	24	1930037360	-1,-13,-13,-13	-13,-13,-13	ok
-0.722222	-36.666667	-45.943485	0.761121	continued[1]:5	40	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.722222	-33.888889	-49.050045	0.738706	full	35	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.722222	-31.111111	-48.777941	0.735913	continued[1]:5	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.722222	-28.333333	-48.424968	0.733119	continued[1]:5	31	30124135089904064	46	14732317585058792	-1,9,9,-10	-10,9,-10,9	ok
-0.722222	-25.555556	-47.975702	0.730326	continued[1]:5	26	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.722222	-22.777778	-47.411591	0.727533	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.722222	-20.000000	-47.162646	0.723179	continued[2]:5	20	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.611111	-45.000000	-46.845853	0.766708	continued[1]:5	50	10498553452318590230	62	11277341565956793520	-1,-14,0,-15	15,-1,2,-15	ok
-0.611111	-42.222222	-46.646136	0.763915	continued[1]:5	48	5940728395798568504	28	3446948908	-1,-14,-14,-14	-14,-14,-14	ok
-0.611111	-39.444444	-46.071479	0.761121	continued[2]:5	44	1862522110322978202	61	1862522156643875166	-1,-13,-13,-13	-13,-13,-13,-13	ok
-0.611111	-36.666667	-45.687439	0.758328	continued[1]:5	40	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.611111	-33.888889	-48.910112	0.735913	continued[2]:5	35	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.611111	-31.111111	-49.764378	0.716204	full	32	31288139504878815	49	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.611111	-28.333333	-49.532704	0.713411	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.611111	-25.555556	-49.221161	0.710617	continued[1]:5	26	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.611111	-22.777778	-48.812271	0.707824	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.611111	-20.000000	-48.284958	0.705031	continued[1]:5	20	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.500000	-45.000000										error: T SSCS does not start with ±1: [-2, -3, -15, -15]
-0.500000	-42.222222	-48.047218	0.735497	full	45	3361378628987190902	27	2592900051	-1,13,13,13	-14,13,13	ok
-0.500000	-39.444444	-47.818311	0.732704	continued[1]:5	41	1009021255905833795	59	1009021288579133361	-1,12,12,12	12,12,12,12	ok
-0.500000	-36.666667	-47.515940	0.729910	continued[1]:5	39	274761540684197919	56	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.500000	-33.888889	-47.125292	0.727117	continued[1]:5	35	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.500000	-31.111111	-46.627416	0.724323	continued[1]:5	32	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.500000	-28.333333	-50.470150	0.693624	full	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.500000	-25.555556	-50.294821	0.690831	continued[1]:5	26	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.500000	-22.777778	-50.047016	0.688037	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.500000	-20.000000	-49.708807	0.685244	continued[1]:5	20	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
