time	lambda_hat	x	Ca	V
223.0	0.002168080370382458	0.6614938247808908	0.8833934385044008	-46.927283307579984
224.0	0.0021884268235950735	0.6613606938118625	0.8833789602970261	-46.931253054209094
225.0	0.0022083979807250398	0.6612275361339905	0.8833644427003897	-46.93522285165194
226.0	0.0022279825112828154	0.661094351757367	0.8833498857135839	-46.93919270099298
227.0	0.0022472068377915096	0.6609611406917809	0.883335289335706	-46.94316260332043
228.0	0.0022660596701012618	0.6608279029467203	0.8833206535658584	-46.94713255972627
229.0	0.0022845666376927532	0.6606946385313733	0.8833059784031482	-46.95110257130623
230.0	0.0023027344680595697	0.6605613474546301	0.883291263846687	-46.955072639159795
231.0	0.0023205519249973735	0.6604280297250843	0.8832765098955913	-46.959042764390205
232.0	0.00233804357668868	0.6602946853510347	0.8832617165489818	-46.96301294810444
233.0	0.0023552157104099855	0.6601613143404869	0.8832468838059836	-46.96698319141323
234.0	0.0023720572284216847	0.6600279167011542	0.8832320116657261	-46.97095349543103
235.0	0.002388591651287555	0.6598944924404603	0.8832171001273428	-46.97492386127605
236.0	0.0024048248751272062	0.6597610415655396	0.8832021491899712	-46.978894290070194
237.0	0.0024207458351070917	0.6596275640832396	0.8831871588527529	-46.98286478293913
238.0	0.0024363772012850403	0.6594940600001218	0.883172129114833	-46.98683534101224
239.0	0.002451724380978953	0.6593605293224634	0.8831570599753606	-46.99080596542261
240.0	0.002466776504635321	0.6592269720562587	0.8831419514334884	-46.99477665730706
241.0	0.0024815392562120586	0.6590933882072207	0.8831268034883724	-46.998747417806115
242.0	0.002496034123853826	0.6589597777807825	0.883111616139172	-47.00271824806401
243.0	0.0025102660394051724	0.6588261407820983	0.8830963893850502	-47.0066891492287
244.0	0.0025242398347757643	0.6586924772160454	0.8830811232251731	-47.01066012245181
245.0	0.002537960282076387	0.6585587870872252	0.8830658176587097	-47.0146311688887
246.0	0.0025514167550955485	0.6584250703999646	0.8830504726848323	-47.01860228969841
247.0	0.002564629385056107	0.6582913271583175	0.8830350883027157	-47.02257348604367
248.0	0.002577602575998745	0.6581575573660663	0.883019664511538	-47.02654475909091
249.0	0.002590340694708884	0.6580237610267227	0.8830042013104796	-47.03051611001025
250.0	0.0026028332959986233	0.6578899381435294	0.8829886986987238	-47.03448753997548
251.0	0.002615099515814557	0.6577560887194613	0.8829731566754561	-47.03845905016408
252.0	0.0026271434247632074	0.6576222127572272	0.8829575752398646	-47.0424306417572
253.0	0.0026389547169326476	0.6574883102592702	0.8829419543911399	-47.04640231593968
254.0	0.002650551842094056	0.6573543812277699	0.8829262941284743	-47.05037407390002
255.0	0.0026619246153294007	0.657220425664643	0.8829105944510628	-47.054345916830385
256.0	0.0026730910030134496	0.657086443571545	0.8828948553581021	-47.05831784592662
257.0	0.002684054690748979	0.6569524349498711	0.8828790768487907	-47.06228986238821
258.0	0.002694819209475764	0.6568183998007575	0.8828632589223294	-47.066261967418335
259.0	0.0027053745941194684	0.6566843381250829	0.8828474015779203	-47.070234162223805
260.0	0.002715737998341406	0.6565502499234691	0.8828315048147674	-47.07420644801509
261.0	0.0027259127623885486	0.656416135196283	0.8828155686320761	-47.07817882600631
262.0	0.0027359021832867136	0.6562819939436368	0.8827995930290534	-47.08215129741524
263.0	0.0027456964519049273	0.6561478261653904	0.8827835780049077	-47.08612386346329
264.0	0.0027553119726278883	0.656013631861151	0.8827675235588485	-47.090096525375536
265.0	0.0027647518475771367	0.6558794110302758	0.8827514296900865	-47.094069284380666
266.0	0.0027740063913029136	0.6557451636718721	0.8827352963978337	-47.09804214171102
267.0	0.0027830914724093127	0.6556108897847986	0.8827191236813029	-47.10201509860257
268.0	0.002792009986595517	0.6554765893676671	0.882702911539708	-47.10598815629492
269.0	0.00280076476840757	0.6553422624188426	0.8826866599722637	-47.1099613160313
270.0	0.0028093586095702516	0.6552079089364455	0.8826703689781852	-47.11393457905858
271.0	0.0028177821005612056	0.6550735289183517	0.8826540385566886	-47.117907946627234
272.0	0.002826050256786859	0.6549391223621942	0.8826376687069905	-47.12188141999137
273.0	0.002834165691777518	0.6548046892653641	0.8826212594283078	-47.125855000408706
274.0	0.002842119151394642	0.6546702296250114	0.8826048107198582	-47.12982868914059
275.0	0.002849936886856131	0.6545357434380467	0.8825883225808593	-47.13380248745196
276.0	0.0028575978306696953	0.6544012307011412	0.8825717950105291	-47.13777639661139
277.0	0.002865116217208816	0.6542666914107286	0.8825552280080856	-47.14175041789105
278.0	0.0028724944113528695	0.6541321255630056	0.8825386215727471	-47.14572455256671
279.0	0.002879723407355468	0.6539975331539333	0.8825219757037315	-47.14969880191776
