delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	T_scs	status
-1.307615	-39.989980	-44.465415	0.829567	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.305611	-39.989980	-44.884866	0.827109	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.303607	-39.989980	-45.294403	0.824984	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.301603	-39.989980	-45.693171	0.823400	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.299599	-39.989980	-46.076890	0.822358	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.297595	-39.989980	-46.440950	0.821650	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.295591	-39.989980	-46.782772	0.824315	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.293587	-39.989980	-44.488143	0.827844	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.291583	-39.989980	-44.911478	0.825512	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.289579	-39.989980	-45.322553	0.823388	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.287575	-39.989980	-45.722175	0.821804	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.285571	-39.989980	-46.106097	0.820762	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.283567	-39.989980	-46.469752	0.820053	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.281563	-39.989980	-46.810621	0.822719	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.279559	-39.989980	-44.506139	0.826241	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.277555	-39.989980	-44.932342	0.823782	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.275551	-39.989980	-45.346862	0.821864	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.273547	-39.989980	-45.746803	0.820074	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.271543	-39.989980	-46.132571	0.819031	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.269539	-39.989980	-46.497292	0.818323	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.267535	-39.989980	-46.838528	0.821116	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.265531	-39.989980	-44.952640	0.822403	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.263527	-39.989980	-45.368714	0.820279	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.261523	-39.989980	-45.771780	0.818695	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.259519	-39.989980	-46.157718	0.817653	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.257515	-39.989980	-46.522084	0.816944	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.255511	-39.989980	-46.862494	0.819738	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.253507	-39.989980	-44.975597	0.821020	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.251503	-39.989980	-45.393012	0.818895	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.249499	-39.989980	-45.796814	0.817312	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.247495	-39.989980	-46.182918	0.816269	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.245491	-39.989980	-46.546923	0.815561	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.243487	-39.989980	-46.886505	0.818354	full	1624	10296487298246453339	-1,0,0,0,0,0,-1	ok
-1.241483	-39.989980	-44.998605	0.819632	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.239479	-39.989980	-45.417365	0.817507	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.237475	-39.989980	-45.821903	0.815924	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.235471	-39.989980	-46.208170	0.814881	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.233467	-39.989980	-46.571810	0.814173	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.231463	-39.989980	-46.910560	0.816966	full	4277	5183011472602943070691271219156713490337408661837767174376952	-1,0,0,0,0,0,-3	ok
-1.229459	-39.989980	-45.021665	0.818239	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.227455	-39.989980	-45.441776	0.816114	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.225451	-39.989980	-45.847049	0.814531	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.223447	-39.989980	-46.233474	0.813488	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.221443	-39.989980	-46.596746	0.812780	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.219439	-39.989980	-46.934662	0.815573	full	831	137520069382767470	-1,0,0,0,0,-1,0	ok
-1.217435	-39.989980	-45.044776	0.816841	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.215431	-39.989980	-45.466242	0.814717	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.213427	-39.989980	-45.872251	0.813133	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.211423	-39.989980	-46.258832	0.812090	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.209419	-39.989980	-46.621732	0.811382	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.207415	-39.989980	-46.958810	0.814176	full	2566	878890027930190311617606920	-1,0,0,0,0,-2,0	ok
-1.205411	-39.989980	-45.067938	0.815439	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.203407	-39.989980	-45.490765	0.813314	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.201403	-39.989980	-45.897509	0.811731	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.199399	-39.989980	-46.284243	0.810688	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.197395	-39.989980	-46.646767	0.809980	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.195391	-39.989980	-46.983005	0.812773	full	1567	5940728488866189452	-1,0,0,0,-1,-1,0	ok
